Universidad;Ámbito de estudio ISCED 1999;Total
Abat Oliba CEU;314 - Economía;111
Abat Oliba CEU;321 - Periodismo;154
Abat Oliba CEU;322 - Biblioteconomía, documentación y archivos;..
Abat Oliba CEU;342 - Marketing y publicidad;324
Abat Oliba CEU;343 - Finanzas, banca y seguros;..
Abat Oliba CEU;345 - Administración y gestión de empresas;657
Abat Oliba CEU;380 - Derecho;303
Abat Oliba CEU;Total Ciencias;..
Abat Oliba CEU;421 - Biología y Bioquímica;..
Abat Oliba CEU;422 - Ciencias del medio ambiente;..
Abat Oliba CEU;442 - Química;..
Abat Oliba CEU;443 - Geología y meteorología;..
Abat Oliba CEU;462 - Estadística;..
Abat Oliba CEU;480 - Informática;..
Abat Oliba CEU;481 - Ciencias de la computación;..
Abat Oliba CEU;Total Ingeniería, industria y construcción;..
Abat Oliba CEU;520 - Ingeniería y profesiones afines;..
Abat Oliba CEU;521 - Mecánica y metalurgia;..
Abat Oliba CEU;522 - Electricidad y energía;..
Abat Oliba CEU;523 - Electrónica y automática;..
Abat Oliba CEU;524 - Procesos químicos;..
Abat Oliba CEU;541 - Industria de la alimentación;..
Abat Oliba CEU;581 - Arquitectura y urbanismo;..
Abat Oliba CEU;582 - Construcción e ingeniería civil;..
Abat Oliba CEU;Total Agricultura y veterinaria;..
Abat Oliba CEU;621 - Producción agrícola y explotación ganadera;..
Abat Oliba CEU;623 - Silvicultura;..
Abat Oliba CEU;641 - Veterinaria;..
Abat Oliba CEU;Total Salud y servicios sociales;..
Abat Oliba CEU;721 - Medicina;..
Abat Oliba CEU;723 - Enfermería y atención a enfermos;..
Abat Oliba CEU;724 - Estudios dentales;..
Abat Oliba CEU;725 - Tecnología de diagnóstico y tratamiento médico;..
Abat Oliba CEU;726 - Terapia y rehabilitación;..
Abat Oliba CEU;727 - Farmacia;..
Abat Oliba CEU;762 - Trabajo social y orientación;..
Abat Oliba CEU;Total Servicios;..
Abat Oliba CEU;812 - Viajes, turismo y ocio;..
Abat Oliba CEU;813 - Deportes;..
Alfonso X El Sabio;Total Ámbito;8.897
Alfonso X El Sabio;Total Educación;..
Alfonso X El Sabio;142 - Ciencias de la educación;..
Alfonso X El Sabio;143 - Formación de docentes de enseñanza infantil;..
Alfonso X El Sabio;144 - Formación de docentes de enseñanza primaria;..
Alfonso X El Sabio;145 - Formación de docentes de enseñanza de temas especiales;..
Alfonso X El Sabio;146 - Formación de docentes de formación profesional;..
Alfonso X El Sabio;Total Artes y humanidades;73
Alfonso X El Sabio;211 - Bellas artes;..
Alfonso X El Sabio;212 - Música y artes del espectáculo;..
Alfonso X El Sabio;213 - Técnicas audiovisuales y medios de comunicación;..
Alfonso X El Sabio;214 - Diseño;..
Alfonso X El Sabio;220 - Humanidades;..
Alfonso X El Sabio;222 - Lenguas extranjeras;73
Alfonso X El Sabio;223 - Lenguas y dialectos españoles;..
Alfonso X El Sabio;225 - Historia y arqueología;..
Alfonso X El Sabio;226 - Filosofia y ética;..
Alfonso X El Sabio;Total Ciencias sociales, educación comercial y derecho;554
Alfonso X El Sabio;311 - Psicología;..
Alfonso X El Sabio;312 - Sociología, antropología y geografía social y cultural;..
Alfonso X El Sabio;313 - Ciencias políticas;..
Alfonso X El Sabio;314 - Economía;..
Alfonso X El Sabio;321 - Periodismo;..
Alfonso X El Sabio;322 - Biblioteconomía, documentación y archivos;..
Alfonso X El Sabio;342 - Marketing y publicidad;..
Alfonso X El Sabio;343 - Finanzas, banca y seguros;..
Alfonso X El Sabio;345 - Administración y gestión de empresas;361
