Nivel y Ciclo;Nacionalidad (regiones);Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Total Centros;Mujeres;1.967
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Total Centros;Hombres;1.115
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Centros propios;Ambos Sexos;2.960
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Centros propios;Mujeres;1.889
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Centros propios;Hombres;1.071
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Centros adscritos;Ambos Sexos;122
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Total Centros;Ambos Sexos;2.507
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Total Centros;Mujeres;1.634
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Total Centros;Hombres;873
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Centros propios;Ambos Sexos;2.385
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Centros propios;Mujeres;1.556
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Centros propios;Hombres;829
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Centros adscritos;Ambos Sexos;122
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Total Centros;Ambos Sexos;575
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Total Centros;Mujeres;333
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Total Centros;Hombres;242
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Centros propios;Ambos Sexos;575
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Centros propios;Mujeres;333
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Centros propios;Hombres;242
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Centros adscritos;Ambos Sexos;.
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Centros adscritos;Mujeres;.
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Centros adscritos;Hombres;.
Total Grado y 1º y 2º Ciclo;América del Norte;Total Universidades;Total Centros;Ambos Sexos;1.170
Total Grado y 1º y 2º Ciclo;América del Norte;Total Universidades;Total Centros;Mujeres;587
Total Grado y 1º y 2º Ciclo;América del Norte;Total Universidades;Total Centros;Hombres;583
Total Grado y 1º y 2º Ciclo;América del Norte;Total Universidades;Centros propios;Ambos Sexos;1.131
Total Grado y 1º y 2º Ciclo;América del Norte;Total Universidades;Centros propios;Mujeres;565
Total Grado y 1º y 2º Ciclo;América del Norte;Total Universidades;Centros propios;Hombres;566
Total Grado y 1º y 2º Ciclo;América del Norte;Total Universidades;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;América del Norte;Total Universidades;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;América del Norte;Total Universidades;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades públicas;Total Centros;Ambos Sexos;921
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades públicas;Total Centros;Mujeres;469
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades públicas;Total Centros;Hombres;452
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades públicas;Centros propios;Ambos Sexos;882
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades públicas;Centros propios;Mujeres;447
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades públicas;Centros propios;Hombres;435
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades públicas;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades públicas;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades públicas;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades privadas;Total Centros;Ambos Sexos;249
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades privadas;Total Centros;Mujeres;118
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades privadas;Total Centros;Hombres;131
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades privadas;Centros propios;Ambos Sexos;249
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades privadas;Centros propios;Mujeres;118
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades privadas;Centros propios;Hombres;131
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades privadas;Centros adscritos;Ambos Sexos;.
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades privadas;Centros adscritos;Mujeres;.
Total Grado y 1º y 2º Ciclo;América del Norte;Universidades privadas;Centros adscritos;Hombres;.
Total Grado y 1º y 2º Ciclo;América Central;Total Universidades;Total Centros;Ambos Sexos;1.198
Total Grado y 1º y 2º Ciclo;América Central;Total Universidades;Total Centros;Mujeres;762
Total Grado y 1º y 2º Ciclo;América Central;Total Universidades;Total Centros;Hombres;436
Total Grado y 1º y 2º Ciclo;América Central;Total Universidades;Centros propios;Ambos Sexos;1.157
Total Grado y 1º y 2º Ciclo;América Central;Total Universidades;Centros propios;Mujeres;730
Total Grado y 1º y 2º Ciclo;América Central;Total Universidades;Centros propios;Hombres;427
Total Grado y 1º y 2º Ciclo;América Central;Total Universidades;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;América Central;Total Universidades;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;América Central;Total Universidades;Centros adscritos;Hombres;.
Total Grado y 1º y 2º Ciclo;América Central;Universidades públicas;Total Centros;Ambos Sexos;1.017
Total Grado y 1º y 2º Ciclo;América Central;Universidades públicas;Total Centros;Mujeres;665
Total Grado y 1º y 2º Ciclo;América Central;Universidades públicas;Total Centros;Hombres;352
Total Grado y 1º y 2º Ciclo;América Central;Universidades públicas;Centros propios;Ambos Sexos;976
Total Grado y 1º y 2º Ciclo;América Central;Universidades públicas;Centros propios;Mujeres;633
Total Grado y 1º y 2º Ciclo;América Central;Universidades públicas;Centros propios;Hombres;343
Total Grado y 1º y 2º Ciclo;América Central;Universidades públicas;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;América Central;Universidades públicas;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;América Central;Universidades públicas;Centros adscritos;Hombres;.
Total Grado y 1º y 2º Ciclo;América Central;Universidades privadas;Total Centros;Ambos Sexos;181
Total Grado y 1º y 2º Ciclo;América Central;Universidades privadas;Total Centros;Mujeres;..
Total Grado y 1º y 2º Ciclo;América Central;Universidades privadas;Total Centros;Hombres;..
Total Grado y 1º y 2º Ciclo;América Central;Universidades privadas;Centros propios;Ambos Sexos;181
Total Grado y 1º y 2º Ciclo;América Central;Universidades privadas;Centros propios;Mujeres;..
Total Grado y 1º y 2º Ciclo;América Central;Universidades privadas;Centros propios;Hombres;..
Total Grado y 1º y 2º Ciclo;América Central;Universidades privadas;Centros adscritos;Ambos Sexos;.
Total Grado y 1º y 2º Ciclo;América Central;Universidades privadas;Centros adscritos;Mujeres;.
Total Grado y 1º y 2º Ciclo;América Central;Universidades privadas;Centros adscritos;Hombres;.
Total Grado y 1º y 2º Ciclo;América del Sur;Total Universidades;Total Centros;Ambos Sexos;11.251
Total Grado y 1º y 2º Ciclo;América del Sur;Total Universidades;Total Centros;Mujeres;6.790
Total Grado y 1º y 2º Ciclo;América del Sur;Total Universidades;Total Centros;Hombres;4.461
Total Grado y 1º y 2º Ciclo;América del Sur;Total Universidades;Centros propios;Ambos Sexos;10.843
Total Grado y 1º y 2º Ciclo;América del Sur;Total Universidades;Centros propios;Mujeres;6.492
