Nivel y Ciclo;Rama de la enseñanza;Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Universidades públicas;Centros adscritos;Mujeres;1.155
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Universidades públicas;Centros adscritos;Hombres;617
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Universidades privadas;Total Centros;Ambos Sexos;7.033
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Universidades privadas;Total Centros;Mujeres;4.300
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Universidades privadas;Total Centros;Hombres;2.733
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Universidades privadas;Centros propios;Ambos Sexos;6.216
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Universidades privadas;Centros propios;Mujeres;3.791
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Universidades privadas;Centros propios;Hombres;2.425
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Universidades privadas;Centros adscritos;Ambos Sexos;817
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Universidades privadas;Centros adscritos;Mujeres;509
Total Grado y 1º y 2º Ciclo;Artes y Humanidades;Universidades privadas;Centros adscritos;Hombres;308
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Total Universidades;Total Centros;Ambos Sexos;197.137
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Total Universidades;Total Centros;Mujeres;139.100
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Total Universidades;Total Centros;Hombres;58.037
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Total Universidades;Centros propios;Ambos Sexos;182.985
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Total Universidades;Centros propios;Mujeres;128.986
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Total Universidades;Centros propios;Hombres;53.999
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Total Universidades;Centros adscritos;Ambos Sexos;14.152
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Total Universidades;Centros adscritos;Mujeres;10.114
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Total Universidades;Centros adscritos;Hombres;4.038
