Comunidades Autónomas;Nacionalidad (regiones);Sexo;Total
Cantabria;España;Ambos Sexos;10.426
Cantabria;España;Mujeres;5.218
Cantabria;España;Hombres;5.208
Cantabria;Unión Europea (27);Ambos Sexos;..
Cantabria;Unión Europea (27);Mujeres;..
Cantabria;Unión Europea (27);Hombres;..
Cantabria;Resto de Europa;Ambos Sexos;..
Cantabria;Resto de Europa;Mujeres;..
Cantabria;Resto de Europa;Hombres;..
Cantabria;EE.UU. y Canadá;Ambos Sexos;.
Cantabria;EE.UU. y Canadá;Mujeres;.
Cantabria;EE.UU. y Canadá;Hombres;.
Cantabria;América Latina y Caribe;Ambos Sexos;..
Cantabria;América Latina y Caribe;Mujeres;..
Cantabria;América Latina y Caribe;Hombres;..
Cantabria;Norte de África;Ambos Sexos;..
Cantabria;Norte de África;Mujeres;.
Cantabria;Norte de África;Hombres;.
Cantabria;Resto de África;Ambos Sexos;.
Cantabria;Resto de África;Mujeres;.
Cantabria;Resto de África;Hombres;.
Cantabria;Asia y Oceanía;Ambos Sexos;.
Cantabria;Asia y Oceanía;Mujeres;.
Cantabria;Asia y Oceanía;Hombres;.
Castilla - La Mancha;TOTAL;Ambos Sexos;27.426
Castilla - La Mancha;TOTAL;Mujeres;15.248
Castilla - La Mancha;TOTAL;Hombres;12.178
Castilla - La Mancha;España;Ambos Sexos;26.994
Castilla - La Mancha;España;Mujeres;14.973
Castilla - La Mancha;España;Hombres;12.021
Castilla - La Mancha;Unión Europea (27);Ambos Sexos;159
Castilla - La Mancha;Unión Europea (27);Mujeres;124
Castilla - La Mancha;Unión Europea (27);Hombres;..
Castilla - La Mancha;Resto de Europa;Ambos Sexos;..
Castilla - La Mancha;Resto de Europa;Mujeres;..
Castilla - La Mancha;Resto de Europa;Hombres;.
Castilla - La Mancha;EE.UU. y Canadá;Ambos Sexos;.
Castilla - La Mancha;EE.UU. y Canadá;Mujeres;.
Castilla - La Mancha;EE.UU. y Canadá;Hombres;.
Castilla - La Mancha;América Latina y Caribe;Ambos Sexos;117
Castilla - La Mancha;América Latina y Caribe;Mujeres;..
Castilla - La Mancha;América Latina y Caribe;Hombres;..
Castilla - La Mancha;Norte de África;Ambos Sexos;..
Castilla - La Mancha;Norte de África;Mujeres;..
Castilla - La Mancha;Norte de África;Hombres;..
Castilla - La Mancha;Resto de África;Ambos Sexos;..
Castilla - La Mancha;Resto de África;Mujeres;..
Castilla - La Mancha;Resto de África;Hombres;..
Castilla - La Mancha;Asia y Oceanía;Ambos Sexos;..
Castilla - La Mancha;Asia y Oceanía;Mujeres;..
Castilla - La Mancha;Asia y Oceanía;Hombres;..
Castilla y León;TOTAL;Ambos Sexos;81.943
Castilla y León;TOTAL;Mujeres;44.760
Castilla y León;TOTAL;Hombres;37.183
Castilla y León;España;Ambos Sexos;79.987
Castilla y León;España;Mujeres;43.625
Castilla y León;España;Hombres;36.362
Castilla y León;Unión Europea (27);Ambos Sexos;836
Castilla y León;Unión Europea (27);Mujeres;515
Castilla y León;Unión Europea (27);Hombres;321
Castilla y León;Resto de Europa;Ambos Sexos;..
Castilla y León;Resto de Europa;Mujeres;..
Castilla y León;Resto de Europa;Hombres;..
Castilla y León;EE.UU. y Canadá;Ambos Sexos;..
Castilla y León;EE.UU. y Canadá;Mujeres;..
Castilla y León;EE.UU. y Canadá;Hombres;..
Castilla y León;América Latina y Caribe;Ambos Sexos;500
Castilla y León;América Latina y Caribe;Mujeres;275
Castilla y León;América Latina y Caribe;Hombres;225
Castilla y León;Norte de África;Ambos Sexos;112
Castilla y León;Norte de África;Mujeres;..
Castilla y León;Norte de África;Hombres;..
Castilla y León;Resto de África;Ambos Sexos;..
Castilla y León;Resto de África;Mujeres;..
Castilla y León;Resto de África;Hombres;..
Castilla y León;Asia y Oceanía;Ambos Sexos;292
Castilla y León;Asia y Oceanía;Mujeres;178
Castilla y León;Asia y Oceanía;Hombres;114
Cataluña;TOTAL;Ambos Sexos;177.985
Cataluña;TOTAL;Mujeres;96.178
Cataluña;TOTAL;Hombres;81.807
Cataluña;España;Ambos Sexos;169.195
Cataluña;España;Mujeres;90.910
Cataluña;España;Hombres;78.285
Cataluña;Unión Europea (27);Ambos Sexos;3.314
Cataluña;Unión Europea (27);Mujeres;2.032
Cataluña;Unión Europea (27);Hombres;1.282
Cataluña;Resto de Europa;Ambos Sexos;1.392
Cataluña;Resto de Europa;Mujeres;814
Cataluña;Resto de Europa;Hombres;578
Cataluña;EE.UU. y Canadá;Ambos Sexos;..
Cataluña;EE.UU. y Canadá;Mujeres;..
Cataluña;EE.UU. y Canadá;Hombres;..
Cataluña;América Latina y Caribe;Ambos Sexos;2.713
Cataluña;América Latina y Caribe;Mujeres;1.680
Cataluña;América Latina y Caribe;Hombres;1.033
Cataluña;Norte de África;Ambos Sexos;593
Cataluña;Norte de África;Mujeres;344
Cataluña;Norte de África;Hombres;249
Cataluña;Resto de África;Ambos Sexos;127
Cataluña;Resto de África;Mujeres;..
Cataluña;Resto de África;Hombres;..
Cataluña;Asia y Oceanía;Ambos Sexos;589
Cataluña;Asia y Oceanía;Mujeres;299
Cataluña;Asia y Oceanía;Hombres;290
Comunitat Valenciana;TOTAL;Ambos Sexos;141.485
Comunitat Valenciana;TOTAL;Mujeres;73.995
Comunitat Valenciana;TOTAL;Hombres;67.490
Comunitat Valenciana;España;Ambos Sexos;134.782
Comunitat Valenciana;España;Mujeres;70.133
Comunitat Valenciana;España;Hombres;64.649
Comunitat Valenciana;Unión Europea (27);Ambos Sexos;3.462
