Nivel y Ciclo;Grupo de edad;Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;Más de 30 años;Total Universidades;Total Centros;Mujeres;117.754
Total Grado y 1º y 2º Ciclo;Más de 30 años;Total Universidades;Total Centros;Hombres;121.828
Total Grado y 1º y 2º Ciclo;Más de 30 años;Total Universidades;Centros propios;Ambos Sexos;232.590
Total Grado y 1º y 2º Ciclo;Más de 30 años;Total Universidades;Centros propios;Mujeres;113.167
Total Grado y 1º y 2º Ciclo;Más de 30 años;Total Universidades;Centros propios;Hombres;119.423
Total Grado y 1º y 2º Ciclo;Más de 30 años;Total Universidades;Centros adscritos;Ambos Sexos;6.992
Total Grado y 1º y 2º Ciclo;Más de 30 años;Total Universidades;Centros adscritos;Mujeres;4.587
Total Grado y 1º y 2º Ciclo;Más de 30 años;Total Universidades;Centros adscritos;Hombres;2.405
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades públicas;Total Centros;Ambos Sexos;199.311
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades públicas;Total Centros;Mujeres;98.273
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades públicas;Total Centros;Hombres;101.038
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades públicas;Centros propios;Ambos Sexos;192.355
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades públicas;Centros propios;Mujeres;93.692
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades públicas;Centros propios;Hombres;98.663
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades públicas;Centros adscritos;Ambos Sexos;6.956
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades públicas;Centros adscritos;Mujeres;4.581
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades públicas;Centros adscritos;Hombres;2.375
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades privadas;Total Centros;Ambos Sexos;40.271
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades privadas;Total Centros;Mujeres;19.481
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades privadas;Total Centros;Hombres;20.790
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades privadas;Centros propios;Ambos Sexos;40.235
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades privadas;Centros propios;Mujeres;19.475
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades privadas;Centros propios;Hombres;20.760
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades privadas;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades privadas;Centros adscritos;Mujeres;.
Total Grado y 1º y 2º Ciclo;Más de 30 años;Universidades privadas;Centros adscritos;Hombres;..
Matrícula de Grado;Todas las edades;Total Universidades;Total Centros;Ambos Sexos;197.694
Matrícula de Grado;Todas las edades;Total Universidades;Total Centros;Mujeres;112.252
Matrícula de Grado;Todas las edades;Total Universidades;Total Centros;Hombres;85.442
Matrícula de Grado;Todas las edades;Total Universidades;Centros propios;Ambos Sexos;187.600
Matrícula de Grado;Todas las edades;Total Universidades;Centros propios;Mujeres;106.415
Matrícula de Grado;Todas las edades;Total Universidades;Centros propios;Hombres;81.185
Matrícula de Grado;Todas las edades;Total Universidades;Centros adscritos;Ambos Sexos;10.094
Matrícula de Grado;Todas las edades;Total Universidades;Centros adscritos;Mujeres;5.837
Matrícula de Grado;Todas las edades;Total Universidades;Centros adscritos;Hombres;4.257
Matrícula de Grado;Todas las edades;Universidades públicas;Total Centros;Ambos Sexos;157.905
Matrícula de Grado;Todas las edades;Universidades públicas;Total Centros;Mujeres;90.934
Matrícula de Grado;Todas las edades;Universidades públicas;Total Centros;Hombres;66.971
Matrícula de Grado;Todas las edades;Universidades públicas;Centros propios;Ambos Sexos;148.213
Matrícula de Grado;Todas las edades;Universidades públicas;Centros propios;Mujeres;85.290
Matrícula de Grado;Todas las edades;Universidades públicas;Centros propios;Hombres;62.923
Matrícula de Grado;Todas las edades;Universidades públicas;Centros adscritos;Ambos Sexos;9.692
Matrícula de Grado;Todas las edades;Universidades públicas;Centros adscritos;Mujeres;5.644
Matrícula de Grado;Todas las edades;Universidades públicas;Centros adscritos;Hombres;4.048
Matrícula de Grado;Todas las edades;Universidades privadas;Total Centros;Ambos Sexos;39.789
Matrícula de Grado;Todas las edades;Universidades privadas;Total Centros;Mujeres;21.318
Matrícula de Grado;Todas las edades;Universidades privadas;Total Centros;Hombres;18.471
Matrícula de Grado;Todas las edades;Universidades privadas;Centros propios;Ambos Sexos;39.387
Matrícula de Grado;Todas las edades;Universidades privadas;Centros propios;Mujeres;21.125
Matrícula de Grado;Todas las edades;Universidades privadas;Centros propios;Hombres;18.262
Matrícula de Grado;Todas las edades;Universidades privadas;Centros adscritos;Ambos Sexos;402
Matrícula de Grado;Todas las edades;Universidades privadas;Centros adscritos;Mujeres;193
Matrícula de Grado;Todas las edades;Universidades privadas;Centros adscritos;Hombres;209
Matrícula de Grado;De 18 a 21 años;Total Universidades;Total Centros;Ambos Sexos;116.994
Matrícula de Grado;De 18 a 21 años;Total Universidades;Total Centros;Mujeres;69.867
Matrícula de Grado;De 18 a 21 años;Total Universidades;Total Centros;Hombres;47.127
