Sexo;Universidad;Ámbito de estudio ISCED 1999;Total
Ambos Sexos;Alfonso X El Sabio;462 - Estadística;..
Ambos Sexos;Alfonso X El Sabio;481 - Ciencias de la computación;39
Ambos Sexos;Alfonso X El Sabio;Total Ingeniería, industria y construcción;1.035
Ambos Sexos;Alfonso X El Sabio;520 - Ingeniería y profesiones afines;34
Ambos Sexos;Alfonso X El Sabio;521 - Mecánica y metalurgia;166
Ambos Sexos;Alfonso X El Sabio;522 - Electricidad y energía;19
Ambos Sexos;Alfonso X El Sabio;523 - Electrónica y automática;90
Ambos Sexos;Alfonso X El Sabio;524 - Procesos químicos;..
Ambos Sexos;Alfonso X El Sabio;525 - Vehículos de motor, barcos y aeronaves;51
Ambos Sexos;Alfonso X El Sabio;541 - Industria de la alimentación;..
Ambos Sexos;Alfonso X El Sabio;544 - Minería y extracción;10
Ambos Sexos;Alfonso X El Sabio;581 - Arquitectura y urbanismo;355
Ambos Sexos;Alfonso X El Sabio;582 - Construcción e ingeniería civil;310
Ambos Sexos;Alfonso X El Sabio;Total Agricultura y veterinaria;915
Ambos Sexos;Alfonso X El Sabio;621 - Producción agrícola y explotación ganadera;..
Ambos Sexos;Alfonso X El Sabio;623 - Silvicultura;..
Ambos Sexos;Alfonso X El Sabio;641 - Veterinaria;915
Ambos Sexos;Alfonso X El Sabio;Total Salud y servicios sociales;3.868
Ambos Sexos;Alfonso X El Sabio;720 - Salud;..
Ambos Sexos;Alfonso X El Sabio;721 - Medicina;686
Ambos Sexos;Alfonso X El Sabio;723 - Enfermería y atención a enfermos;204
Ambos Sexos;Alfonso X El Sabio;724 - Estudios dentales;1.721
Ambos Sexos;Alfonso X El Sabio;725 - Tecnología de diagnóstico y tratamiento médico;100
Ambos Sexos;Alfonso X El Sabio;726 - Terapia y rehabilitación;581
Ambos Sexos;Alfonso X El Sabio;727 - Farmacia;576
Ambos Sexos;Alfonso X El Sabio;762 - Trabajo social y orientación;..
Ambos Sexos;Alfonso X El Sabio;Total Servicios;158
Ambos Sexos;Alfonso X El Sabio;811 - Hostelería;..
Ambos Sexos;Alfonso X El Sabio;812 - Viajes, turismo y ocio;..
Ambos Sexos;Alfonso X El Sabio;813 - Deportes;158
Ambos Sexos;Alfonso X El Sabio;840 - Servicios de transporte;..
Ambos Sexos;Alfonso X El Sabio;851 - Control y tecnología medioambiental;..
Ambos Sexos;Antonio de Nebrija;Total Ámbito;2.804
Ambos Sexos;Antonio de Nebrija;Total Educación;139
Ambos Sexos;Antonio de Nebrija;140 - Formación de personal docente y ciencias de la educación;..
Ambos Sexos;Antonio de Nebrija;142 - Ciencias de la educación;..
Ambos Sexos;Antonio de Nebrija;143 - Formación de docentes de enseñanza infantil;20
Ambos Sexos;Antonio de Nebrija;144 - Formación de docentes de enseñanza primaria;119
Ambos Sexos;Antonio de Nebrija;145 - Formación de docentes de enseñanza de temas especiales;..
Ambos Sexos;Antonio de Nebrija;146 - Formación de docentes de formación profesional;..
Ambos Sexos;Antonio de Nebrija;Total Artes y humanidades;228
Ambos Sexos;Antonio de Nebrija;211 - Bellas artes;44
Ambos Sexos;Antonio de Nebrija;212 - Música y artes del espectáculo;18
Ambos Sexos;Antonio de Nebrija;213 - Técnicas audiovisuales y medios de comunicación;67
Ambos Sexos;Antonio de Nebrija;214 - Diseño;38
Ambos Sexos;Antonio de Nebrija;220 - Humanidades;..
Ambos Sexos;Antonio de Nebrija;221 - Religión;..
Ambos Sexos;Antonio de Nebrija;222 - Lenguas extranjeras;61
Ambos Sexos;Antonio de Nebrija;223 - Lenguas y dialectos españoles;..
