Universidad;Ámbito de estudio ISCED 1999;Total
Universidades Públicas Presenciales;840 - Servicios de transporte;1.474
Universidades Públicas Presenciales;861 - Protección de la propiedad y las personas;..
A Coruña;Total;20.338
A Coruña;1 - Educación;1.639
A Coruña;142 - Ciencias de la educación;494
A Coruña;143 - Formación de docentes de enseñanza infantil;400
A Coruña;144 - Formación de docentes de enseñanza primaria;517
A Coruña;145 - Formación de docentes de enseñanza de temas especiales;.
A Coruña;146 - Formación de docentes de formación profesional;228
A Coruña;2 - Artes y humanidades;601
A Coruña;210 - Artes;.
A Coruña;211 - Bellas artes;.
A Coruña;212 - Música y artes del espectáculo;.
A Coruña;213 - Técnicas audiovisuales y medios de comunicación;186
A Coruña;214 - Diseño;.
A Coruña;220 - Humanidades;..
A Coruña;222 - Lenguas extranjeras;212
A Coruña;223 - Lenguas y dialectos españoles;147
A Coruña;224 - Historia, filosofía y temas relacionados;.
A Coruña;225 - Historia y arqueología;.
A Coruña;226 - Filosofía y ética;.
A Coruña;3 - Ciencias sociales, educación comercial y derecho;5.705
A Coruña;310 - Ciencias sociales y del comportamiento;.
A Coruña;311 - Psicología;.
A Coruña;312 - Sociología, antropología y geografía social y cultural;283
A Coruña;313 - Ciencias políticas;.
A Coruña;314 - Economía;431
A Coruña;321 - Periodismo;.
A Coruña;322 - Biblioteconomía, documentación y archivos;..
A Coruña;342 - Marketing y publicidad;.
A Coruña;343 - Finanzas, banca y seguros;.
A Coruña;345 - Administración y gestión de empresas;3.331
A Coruña;347 - Otros estudios referidos al puesto de trabajo;.
A Coruña;380 - Derecho;1.564
A Coruña;4 - Ciencias;2.526
A Coruña;421 - Biología y Bioquímica;413
A Coruña;422 - Ciencias del medio ambiente;.
A Coruña;441 - Física;.
A Coruña;442 - Química;286
A Coruña;443 - Geología y meteorología;.
A Coruña;461 - Matemáticas;.
A Coruña;462 - Estadística;.
A Coruña;481 - Ciencias de la computación;1.827
A Coruña;482 - Informática en el nivel de usuario;.
A Coruña;5 - Ingeniería, industria y construcción;7.155
A Coruña;520 - Ingeniería y profesiones afines;741
A Coruña;521 - Mecánica y metalurgia;.
A Coruña;522 - Electricidad y energía;446
A Coruña;523 - Electrónica y automática;429
A Coruña;524 - Procesos químicos;.
A Coruña;525 - Vehículos de motor, barcos y aeronaves;846
A Coruña;541 - Industria de la alimentación;.
A Coruña;542 - Industria textil, confección, del calzado y piel;.
A Coruña;543 - Industrias de otros materiales (madera, papel, plástico, vidrio);.
A Coruña;544 - Minería y extracción;.
A Coruña;581 - Arquitectura y urbanismo;3.453
A Coruña;582 - Construcción e ingeniería civil;1.240
A Coruña;6 - Agricultura y veterinaria;.
A Coruña;620 - Agricultura, ganadería y pesca;.
A Coruña;621 - Producción agrícola y explotación ganadera;.
A Coruña;622 - Horticultura;.
A Coruña;623 - Silvicultura;.
A Coruña;641 - Veterinaria;.
A Coruña;7 - Salud y servicios sociales;1.253
A Coruña;721 - Medicina;.
A Coruña;723 - Enfermería y atención a enfermos;434
A Coruña;724 - Estudios dentales;.
A Coruña;725 - Tecnología de diagnóstico y tratamiento médico;.
A Coruña;726 - Terapia y rehabilitación;819
A Coruña;727 - Farmacia;.
A Coruña;762 - Trabajo social y orientación;.
A Coruña;8 - Servicios;1.459
A Coruña;812 - Viajes, turismo y ocio;374
A Coruña;813 - Deportes;887
A Coruña;840 - Servicios de transporte;198
A Coruña;861 - Protección de la propiedad y las personas;.
Alcalá;Total;18.666
Alcalá;1 - Educación;4.457
Alcalá;142 - Ciencias de la educación;294
Alcalá;143 - Formación de docentes de enseñanza infantil;1.251
Alcalá;144 - Formación de docentes de enseñanza primaria;1.210
Alcalá;145 - Formación de docentes de enseñanza de temas especiales;1.120
Alcalá;146 - Formación de docentes de formación profesional;582
Alcalá;2 - Artes y humanidades;791
Alcalá;210 - Artes;.
Alcalá;211 - Bellas artes;.
Alcalá;212 - Música y artes del espectáculo;.
Alcalá;213 - Técnicas audiovisuales y medios de comunicación;.
Alcalá;214 - Diseño;.
Alcalá;220 - Humanidades;156
Alcalá;222 - Lenguas extranjeras;260
Alcalá;223 - Lenguas y dialectos españoles;103
Alcalá;224 - Historia, filosofía y temas relacionados;.
Alcalá;225 - Historia y arqueología;272
Alcalá;226 - Filosofía y ética;.
Alcalá;3 - Ciencias sociales, educación comercial y derecho;3.098
Alcalá;310 - Ciencias sociales y del comportamiento;.
Alcalá;311 - Psicología;.
Alcalá;312 - Sociología, antropología y geografía social y cultural;.
Alcalá;313 - Ciencias políticas;.
Alcalá;314 - Economía;707
Alcalá;321 - Periodismo;.
Alcalá;322 - Biblioteconomía, documentación y archivos;..
Alcalá;342 - Marketing y publicidad;.
Alcalá;343 - Finanzas, banca y seguros;.
Alcalá;345 - Administración y gestión de empresas;1.578
Alcalá;347 - Otros estudios referidos al puesto de trabajo;.
Alcalá;380 - Derecho;791
Alcalá;4 - Ciencias;3.333
Alcalá;421 - Biología y Bioquímica;913
Alcalá;422 - Ciencias del medio ambiente;725
Alcalá;441 - Física;.
Alcalá;442 - Química;414
Alcalá;443 - Geología y meteorología;.
Alcalá;461 - Matemáticas;.
Alcalá;462 - Estadística;..
Alcalá;481 - Ciencias de la computación;1.195
Alcalá;482 - Informática en el nivel de usuario;.
Alcalá;5 - Ingeniería, industria y construcción;3.432
Alcalá;520 - Ingeniería y profesiones afines;.
Alcalá;521 - Mecánica y metalurgia;.
Alcalá;522 - Electricidad y energía;.
Alcalá;523 - Electrónica y automática;2.191
Alcalá;524 - Procesos químicos;.
Alcalá;525 - Vehículos de motor, barcos y aeronaves;.
Alcalá;541 - Industria de la alimentación;.
Alcalá;542 - Industria textil, confección, del calzado y piel;.
Alcalá;543 - Industrias de otros materiales (madera, papel, plástico, vidrio);.
Alcalá;544 - Minería y extracción;.
Alcalá;581 - Arquitectura y urbanismo;1.241
Alcalá;582 - Construcción e ingeniería civil;.
Alcalá;6 - Agricultura y veterinaria;.
Alcalá;620 - Agricultura, ganadería y pesca;.
Alcalá;621 - Producción agrícola y explotación ganadera;.
Alcalá;622 - Horticultura;.
Alcalá;623 - Silvicultura;.
Alcalá;641 - Veterinaria;.
Alcalá;7 - Salud y servicios sociales;2.811
Alcalá;721 - Medicina;847
Alcalá;723 - Enfermería y atención a enfermos;629
