Nivel y Ciclo;Nacionalidad (regiones);Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Total Centros;Hombres;1.725
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Centros propios;Ambos Sexos;4.461
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Centros propios;Mujeres;2.863
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Centros propios;Hombres;1.598
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Centros adscritos;Ambos Sexos;303
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Centros adscritos;Mujeres;176
Total Grado y 1º y 2º Ciclo;Resto de Europa;Total Universidades;Centros adscritos;Hombres;127
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Total Centros;Ambos Sexos;4.053
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Total Centros;Mujeres;2.639
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Total Centros;Hombres;1.414
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Centros propios;Ambos Sexos;3.797
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Centros propios;Mujeres;2.483
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Centros propios;Hombres;1.314
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Centros adscritos;Ambos Sexos;256
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Centros adscritos;Mujeres;156
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades públicas;Centros adscritos;Hombres;100
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Total Centros;Ambos Sexos;711
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Total Centros;Mujeres;400
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Total Centros;Hombres;311
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Centros propios;Ambos Sexos;664
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Centros propios;Mujeres;380
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Centros propios;Hombres;284
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;Resto de Europa;Universidades privadas;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;EE.UU. y Canadá;Total Universidades;Total Centros;Ambos Sexos;432
Total Grado y 1º y 2º Ciclo;EE.UU. y Canadá;Total Universidades;Total Centros;Mujeres;257
Total Grado y 1º y 2º Ciclo;EE.UU. y Canadá;Total Universidades;Total Centros;Hombres;175
Total Grado y 1º y 2º Ciclo;EE.UU. y Canadá;Total Universidades;Centros propios;Ambos Sexos;414
Total Grado y 1º y 2º Ciclo;EE.UU. y Canadá;Total Universidades;Centros propios;Mujeres;249
Total Grado y 1º y 2º Ciclo;EE.UU. y Canadá;Total Universidades;Centros propios;Hombres;165
Total Grado y 1º y 2º Ciclo;EE.UU. y Canadá;Total Universidades;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;EE.UU. y Canadá;Total Universidades;Centros adscritos;Mujeres;.
Total Grado y 1º y 2º Ciclo;EE.UU. y Canadá;Total Universidades;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;EE.UU. y Canadá;Universidades públicas;Total Centros;Ambos Sexos;286
Total Grado y 1º y 2º Ciclo;EE.UU. y Canadá;Universidades públicas;Total Centros;Mujeres;178
Total Grado y 1º y 2º Ciclo;EE.UU. y Canadá;Universidades públicas;Total Centros;Hombres;108
Total Grado y 1º y 2º Ciclo;EE.UU. y Canadá;Universidades públicas;Centros propios;Ambos Sexos;272
Total Grado y 1º y 2º Ciclo;EE.UU. y Canadá;Universidades públicas;Centros propios;Mujeres;172
Total Grado y 1º y 2º Ciclo;EE.UU. y Canadá;Universidades públicas;Centros propios;Hombres;100
Total Grado y 1º y 2º Ciclo;EE.UU. y Canadá;Universidades públicas;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;EE.UU. y Canadá;Universidades públicas;Centros adscritos;Mujeres;.
Total Grado y 1º y 2º Ciclo;EE.UU. y Canadá;Universidades públicas;Centros adscritos;Hombres;.
Total Grado y 1º y 2º Ciclo;EE.UU. y Canadá;Universidades privadas;Total Centros;Ambos Sexos;146
Total Grado y 1º y 2º Ciclo;EE.UU. y Canadá;Universidades privadas;Total Centros;Mujeres;..
Total Grado y 1º y 2º Ciclo;EE.UU. y Canadá;Universidades privadas;Total Centros;Hombres;..
Total Grado y 1º y 2º Ciclo;EE.UU. y Canadá;Universidades privadas;Centros propios;Ambos Sexos;142
Total Grado y 1º y 2º Ciclo;EE.UU. y Canadá;Universidades privadas;Centros propios;Mujeres;..
Total Grado y 1º y 2º Ciclo;EE.UU. y Canadá;Universidades privadas;Centros propios;Hombres;..
Total Grado y 1º y 2º Ciclo;EE.UU. y Canadá;Universidades privadas;Centros adscritos;Ambos Sexos;.
Total Grado y 1º y 2º Ciclo;EE.UU. y Canadá;Universidades privadas;Centros adscritos;Mujeres;.
Total Grado y 1º y 2º Ciclo;EE.UU. y Canadá;Universidades privadas;Centros adscritos;Hombres;.
Total Grado y 1º y 2º Ciclo;América Latina y Caribe;Total Universidades;Total Centros;Ambos Sexos;12.615
Total Grado y 1º y 2º Ciclo;América Latina y Caribe;Total Universidades;Total Centros;Mujeres;7.591
Total Grado y 1º y 2º Ciclo;América Latina y Caribe;Total Universidades;Total Centros;Hombres;5.024
Total Grado y 1º y 2º Ciclo;América Latina y Caribe;Total Universidades;Centros propios;Ambos Sexos;11.978
Total Grado y 1º y 2º Ciclo;América Latina y Caribe;Total Universidades;Centros propios;Mujeres;7.169
Total Grado y 1º y 2º Ciclo;América Latina y Caribe;Total Universidades;Centros propios;Hombres;4.809
Total Grado y 1º y 2º Ciclo;América Latina y Caribe;Total Universidades;Centros adscritos;Ambos Sexos;637
Total Grado y 1º y 2º Ciclo;América Latina y Caribe;Total Universidades;Centros adscritos;Mujeres;422
Total Grado y 1º y 2º Ciclo;América Latina y Caribe;Total Universidades;Centros adscritos;Hombres;215
Total Grado y 1º y 2º Ciclo;América Latina y Caribe;Universidades públicas;Total Centros;Ambos Sexos;10.840
Total Grado y 1º y 2º Ciclo;América Latina y Caribe;Universidades públicas;Total Centros;Mujeres;6.612
Total Grado y 1º y 2º Ciclo;América Latina y Caribe;Universidades públicas;Total Centros;Hombres;4.228
Total Grado y 1º y 2º Ciclo;América Latina y Caribe;Universidades públicas;Centros propios;Ambos Sexos;10.318
Total Grado y 1º y 2º Ciclo;América Latina y Caribe;Universidades públicas;Centros propios;Mujeres;6.261
Total Grado y 1º y 2º Ciclo;América Latina y Caribe;Universidades públicas;Centros propios;Hombres;4.057
Total Grado y 1º y 2º Ciclo;América Latina y Caribe;Universidades públicas;Centros adscritos;Ambos Sexos;522
Total Grado y 1º y 2º Ciclo;América Latina y Caribe;Universidades públicas;Centros adscritos;Mujeres;351
Total Grado y 1º y 2º Ciclo;América Latina y Caribe;Universidades públicas;Centros adscritos;Hombres;171
Total Grado y 1º y 2º Ciclo;América Latina y Caribe;Universidades privadas;Total Centros;Ambos Sexos;1.775
Total Grado y 1º y 2º Ciclo;América Latina y Caribe;Universidades privadas;Total Centros;Mujeres;979
Total Grado y 1º y 2º Ciclo;América Latina y Caribe;Universidades privadas;Total Centros;Hombres;796
Total Grado y 1º y 2º Ciclo;América Latina y Caribe;Universidades privadas;Centros propios;Ambos Sexos;1.660
Total Grado y 1º y 2º Ciclo;América Latina y Caribe;Universidades privadas;Centros propios;Mujeres;908
Total Grado y 1º y 2º Ciclo;América Latina y Caribe;Universidades privadas;Centros propios;Hombres;752
Total Grado y 1º y 2º Ciclo;América Latina y Caribe;Universidades privadas;Centros adscritos;Ambos Sexos;115
Total Grado y 1º y 2º Ciclo;América Latina y Caribe;Universidades privadas;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;América Latina y Caribe;Universidades privadas;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;Norte de África;Total Universidades;Total Centros;Ambos Sexos;4.427
Total Grado y 1º y 2º Ciclo;Norte de África;Total Universidades;Total Centros;Mujeres;2.399
Total Grado y 1º y 2º Ciclo;Norte de África;Total Universidades;Total Centros;Hombres;2.028
Total Grado y 1º y 2º Ciclo;Norte de África;Total Universidades;Centros propios;Ambos Sexos;4.313
Total Grado y 1º y 2º Ciclo;Norte de África;Total Universidades;Centros propios;Mujeres;2.342
Total Grado y 1º y 2º Ciclo;Norte de África;Total Universidades;Centros propios;Hombres;1.971
Total Grado y 1º y 2º Ciclo;Norte de África;Total Universidades;Centros adscritos;Ambos Sexos;114
Total Grado y 1º y 2º Ciclo;Norte de África;Total Universidades;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;Norte de África;Total Universidades;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades públicas;Total Centros;Ambos Sexos;4.153
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades públicas;Total Centros;Mujeres;2.243
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades públicas;Total Centros;Hombres;1.910
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades públicas;Centros propios;Ambos Sexos;4.068
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades públicas;Centros propios;Mujeres;2.199
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades públicas;Centros propios;Hombres;1.869
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades públicas;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades públicas;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades públicas;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades privadas;Total Centros;Ambos Sexos;274
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades privadas;Total Centros;Mujeres;156
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades privadas;Total Centros;Hombres;118
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades privadas;Centros propios;Ambos Sexos;245
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades privadas;Centros propios;Mujeres;143
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades privadas;Centros propios;Hombres;102
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades privadas;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades privadas;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;Norte de África;Universidades privadas;Centros adscritos;Hombres;..
Total Grado y 1º y 2º Ciclo;Resto de África;Total Universidades;Total Centros;Ambos Sexos;1.360
Total Grado y 1º y 2º Ciclo;Resto de África;Total Universidades;Total Centros;Mujeres;606
Total Grado y 1º y 2º Ciclo;Resto de África;Total Universidades;Total Centros;Hombres;754
Total Grado y 1º y 2º Ciclo;Resto de África;Total Universidades;Centros propios;Ambos Sexos;1.326
Total Grado y 1º y 2º Ciclo;Resto de África;Total Universidades;Centros propios;Mujeres;583
Total Grado y 1º y 2º Ciclo;Resto de África;Total Universidades;Centros propios;Hombres;743
Total Grado y 1º y 2º Ciclo;Resto de África;Total Universidades;Centros adscritos;Ambos Sexos;..
Total Grado y 1º y 2º Ciclo;Resto de África;Total Universidades;Centros adscritos;Mujeres;..
Total Grado y 1º y 2º Ciclo;Resto de África;Total Universidades;Centros adscritos;Hombres;..
