Universidad;Ámbito de estudio ISCED 1999;Total
Camilo José Cela;212 - Música y artes del espectáculo;.
Camilo José Cela;213 - Técnicas audiovisuales y medios de comunicación;633
Camilo José Cela;214 - Diseño;364
Camilo José Cela;220 - Humanidades;.
Camilo José Cela;222 - Lenguas extranjeras;.
Camilo José Cela;223 - Lenguas y dialectos españoles;.
Camilo José Cela;225 - Historia y arqueología;.
Camilo José Cela;226 - Filosofía y ética;.
Camilo José Cela;Total Ciencias sociales, educación comercial y derecho;1.259
Camilo José Cela;311 - Psicología;249
Camilo José Cela;312 - Sociología, antropología y geografía social y cultural;120
Camilo José Cela;313 - Ciencias políticas;.
Camilo José Cela;314 - Economía;.
Camilo José Cela;320 - Periodismo e información;.
Camilo José Cela;321 - Periodismo;100
Camilo José Cela;322 - Biblioteconomía, documentación y archivos;.
Camilo José Cela;342 - Marketing y publicidad;..
Camilo José Cela;343 - Finanzas, banca y seguros;.
Camilo José Cela;344 - Contabilidad y gestión de impuestos;..
Camilo José Cela;345 - Administración y gestión de empresas;308
Camilo José Cela;347 - Otros estudios referidos al puesto de trabajo;278
Camilo José Cela;380 - Derecho;132
Camilo José Cela;Total Ciencias;..
Camilo José Cela;420 - Ciencias de la vida;.
Camilo José Cela;421 - Biología y Bioquímica;.
Camilo José Cela;422 - Ciencias del medio ambiente;.
Camilo José Cela;442 - Química;.
Camilo José Cela;443 - Geología y meteorología;.
Camilo José Cela;462 - Estadística;.
Camilo José Cela;481 - Ciencias de la computación;..
Camilo José Cela;Total Ingeniería, industria y construcción;763
Camilo José Cela;520 - Ingeniería y profesiones afines;.
Camilo José Cela;521 - Mecánica y metalurgia;.
Camilo José Cela;522 - Electricidad y energía;.
Camilo José Cela;523 - Electrónica y automática;.
Camilo José Cela;524 - Procesos químicos;.
Camilo José Cela;525 - Vehículos de motor, barcos y aeronaves;.
Camilo José Cela;541 - Industria de la alimentación;.
Camilo José Cela;580 - Arquitectura y construcción;..
Camilo José Cela;581 - Arquitectura y urbanismo;702
Camilo José Cela;582 - Construcción e ingeniería civil;.
Camilo José Cela;Total Agricultura y veterinaria;.
Camilo José Cela;621 - Producción agrícola y explotación ganadera;.
Camilo José Cela;623 - Silvicultura;.
Camilo José Cela;641 - Veterinaria;.
Camilo José Cela;Total Salud y servicios sociales;262
Camilo José Cela;720 - Salud;.
Camilo José Cela;721 - Medicina;.
Camilo José Cela;723 - Enfermería y atención a enfermos;124
Camilo José Cela;724 - Estudios dentales;.
Camilo José Cela;725 - Tecnología de diagnóstico y tratamiento médico;..
Camilo José Cela;726 - Terapia y rehabilitación;113
Camilo José Cela;727 - Farmacia;.
Camilo José Cela;762 - Trabajo social y orientación;.
Camilo José Cela;Total Servicios;329
Camilo José Cela;811 - Hostelería;.
Camilo José Cela;812 - Viajes, turismo y ocio;.
Camilo José Cela;813 - Deportes;260
Camilo José Cela;840 - Servicios de transporte;..
Cardenal Herrera-CEU;Total Ámbito;4.970
Cardenal Herrera-CEU;Total Educación;736
Cardenal Herrera-CEU;140 - Formación de personal docente y ciencias de la educación;.
Cardenal Herrera-CEU;142 - Ciencias de la educación;.
Cardenal Herrera-CEU;143 - Formación de docentes de enseñanza infantil;355
Cardenal Herrera-CEU;144 - Formación de docentes de enseñanza primaria;381
Cardenal Herrera-CEU;145 - Formación de docentes de enseñanza de temas especiales;.
Cardenal Herrera-CEU;146 - Formación de docentes de formación profesional;.
