Universidad;Ámbito de estudio ISCED 1999;Total
Universidades Públicas Presenciales;623 - Silvicultura;5.227
Universidades Públicas Presenciales;641 - Veterinaria;7.933
Universidades Públicas Presenciales;7 - Salud y servicios sociales;124.259
Universidades Públicas Presenciales;721 - Medicina;32.725
Universidades Públicas Presenciales;723 - Enfermería y atención a enfermos;31.910
Universidades Públicas Presenciales;724 - Estudios dentales;4.047
Universidades Públicas Presenciales;725 - Tecnología de diagnóstico y tratamiento médico;3.453
Universidades Públicas Presenciales;726 - Terapia y rehabilitación;19.433
Universidades Públicas Presenciales;727 - Farmacia;17.131
Universidades Públicas Presenciales;762 - Trabajo social y orientación;15.560
Universidades Públicas Presenciales;8 - Servicios;34.919
Universidades Públicas Presenciales;812 - Viajes, turismo y ocio;19.353
Universidades Públicas Presenciales;813 - Deportes;13.582
Universidades Públicas Presenciales;840 - Servicios de transporte;1.613
Universidades Públicas Presenciales;851 - Control y tecnología medioambiental;122
Universidades Públicas Presenciales;852 - Entornos naturales y vida salvaje;55
Universidades Públicas Presenciales;861 - Protección de la propiedad y las personas;194
A Coruña;Total;20.136
A Coruña;1 - Educación;1.621
A Coruña;142 - Ciencias de la educación;523
A Coruña;143 - Formación de docentes de enseñanza infantil;438
A Coruña;144 - Formación de docentes de enseñanza primaria;496
A Coruña;145 - Formación de docentes de enseñanza de temas especiales;..
A Coruña;146 - Formación de docentes de formación profesional;164
A Coruña;2 - Artes y humanidades;655
A Coruña;210 - Artes;..
A Coruña;211 - Bellas artes;..
A Coruña;212 - Música y artes del espectáculo;..
A Coruña;213 - Técnicas audiovisuales y medios de comunicación;223
A Coruña;214 - Diseño;..
A Coruña;220 - Humanidades;54
A Coruña;222 - Lenguas extranjeras;227
A Coruña;223 - Lenguas y dialectos españoles;151
A Coruña;224 - Historia, filosofía y temas relacionados;..
A Coruña;225 - Historia y arqueología;..
A Coruña;226 - Filosofía y ética;..
A Coruña;3 - Ciencias sociales, educación comercial y derecho;5.732
A Coruña;310 - Ciencias sociales y del comportamiento;..
A Coruña;311 - Psicología;..
A Coruña;312 - Sociología, antropología y geografía social y cultural;259
A Coruña;313 - Ciencias políticas;..
A Coruña;314 - Economía;419
A Coruña;321 - Periodismo;..
A Coruña;322 - Biblioteconomía, documentación y archivos;75
A Coruña;341 - Ventas al por mayor y al por menor;..
A Coruña;342 - Marketing y publicidad;..
A Coruña;343 - Finanzas, banca y seguros;..
A Coruña;344 - Contabilidad y gestión de impuestos;..
A Coruña;345 - Administración y gestión de empresas;3.406
A Coruña;346 - Secretariado y trabajo administrativo;..
A Coruña;347 - Otros estudios referidos al puesto de trabajo;..
A Coruña;380 - Derecho;1.573
A Coruña;4 - Ciencias;2.412
A Coruña;421 - Biología y Bioquímica;433
A Coruña;422 - Ciencias del medio ambiente;..
A Coruña;440 - Ciencias Físicas, químicas, geológicas;..
A Coruña;441 - Física;..
A Coruña;442 - Química;301
A Coruña;443 - Geología y meteorología;..
A Coruña;461 - Matemáticas;..
A Coruña;462 - Estadística;..
A Coruña;481 - Ciencias de la computación;1.678
A Coruña;482 - Informática en el nivel de usuario;..
A Coruña;5 - Ingeniería, industria y construcción;7.100
A Coruña;520 - Ingeniería y profesiones afines;659
A Coruña;521 - Mecánica y metalurgia;122
A Coruña;522 - Electricidad y energía;407
A Coruña;523 - Electrónica y automática;371
A Coruña;524 - Procesos químicos;..
A Coruña;525 - Vehículos de motor, barcos y aeronaves;837
A Coruña;540 - Industria manufacturera y producción;..
A Coruña;541 - Industria de la alimentación;..
A Coruña;542 - Industria textil, confección, del calzado y piel;..
A Coruña;543 - Industrias de otros materiales (madera, papel, plástico, vidrio);..
A Coruña;544 - Minería y extracción;..
A Coruña;581 - Arquitectura y urbanismo;3.412
A Coruña;582 - Construcción e ingeniería civil;1.292
A Coruña;6 - Agricultura y veterinaria;..
A Coruña;620 - Agricultura, ganadería y pesca;..
A Coruña;621 - Producción agrícola y explotación ganadera;..
A Coruña;622 - Horticultura;..
A Coruña;623 - Silvicultura;..
A Coruña;641 - Veterinaria;..
A Coruña;7 - Salud y servicios sociales;1.319
A Coruña;721 - Medicina;..
A Coruña;723 - Enfermería y atención a enfermos;470
A Coruña;724 - Estudios dentales;..
A Coruña;725 - Tecnología de diagnóstico y tratamiento médico;..
A Coruña;726 - Terapia y rehabilitación;849
A Coruña;727 - Farmacia;..
A Coruña;762 - Trabajo social y orientación;..
A Coruña;8 - Servicios;1.297
A Coruña;812 - Viajes, turismo y ocio;298
A Coruña;813 - Deportes;820
A Coruña;840 - Servicios de transporte;179
A Coruña;851 - Control y tecnología medioambiental;..
A Coruña;852 - Entornos naturales y vida salvaje;..
A Coruña;861 - Protección de la propiedad y las personas;..
Alcalá;Total;18.190
Alcalá;1 - Educación;4.011
Alcalá;142 - Ciencias de la educación;195
Alcalá;143 - Formación de docentes de enseñanza infantil;1.217
Alcalá;144 - Formación de docentes de enseñanza primaria;1.205
Alcalá;145 - Formación de docentes de enseñanza de temas especiales;954
Alcalá;146 - Formación de docentes de formación profesional;440
Alcalá;2 - Artes y humanidades;851
Alcalá;210 - Artes;..
Alcalá;211 - Bellas artes;..
Alcalá;212 - Música y artes del espectáculo;..
Alcalá;213 - Técnicas audiovisuales y medios de comunicación;..
Alcalá;214 - Diseño;..
Alcalá;220 - Humanidades;154
Alcalá;222 - Lenguas extranjeras;307
Alcalá;223 - Lenguas y dialectos españoles;123
Alcalá;224 - Historia, filosofía y temas relacionados;..
Alcalá;225 - Historia y arqueología;267
Alcalá;226 - Filosofía y ética;..
Alcalá;3 - Ciencias sociales, educación comercial y derecho;3.220
Alcalá;310 - Ciencias sociales y del comportamiento;..
Alcalá;311 - Psicología;..
Alcalá;312 - Sociología, antropología y geografía social y cultural;..
Alcalá;313 - Ciencias políticas;..
Alcalá;314 - Economía;740
Alcalá;321 - Periodismo;..
Alcalá;322 - Biblioteconomía, documentación y archivos;16
Alcalá;341 - Ventas al por mayor y al por menor;..
Alcalá;342 - Marketing y publicidad;..
Alcalá;343 - Finanzas, banca y seguros;55
Alcalá;344 - Contabilidad y gestión de impuestos;..
Alcalá;345 - Administración y gestión de empresas;1.598
Alcalá;346 - Secretariado y trabajo administrativo;..
Alcalá;347 - Otros estudios referidos al puesto de trabajo;..
Alcalá;380 - Derecho;811
Alcalá;4 - Ciencias;3.230
Alcalá;421 - Biología y Bioquímica;927
Alcalá;422 - Ciencias del medio ambiente;681
Alcalá;440 - Ciencias Físicas, químicas, geológicas;..
Alcalá;441 - Física;..
Alcalá;442 - Química;429
Alcalá;443 - Geología y meteorología;..
Alcalá;461 - Matemáticas;..
Alcalá;462 - Estadística;95
Alcalá;481 - Ciencias de la computación;1.098
Alcalá;482 - Informática en el nivel de usuario;..
Alcalá;5 - Ingeniería, industria y construcción;3.292
Alcalá;520 - Ingeniería y profesiones afines;..
Alcalá;521 - Mecánica y metalurgia;..
Alcalá;522 - Electricidad y energía;..
Alcalá;523 - Electrónica y automática;2.113
Alcalá;524 - Procesos químicos;..
Alcalá;525 - Vehículos de motor, barcos y aeronaves;..
Alcalá;540 - Industria manufacturera y producción;..
Alcalá;541 - Industria de la alimentación;..
Alcalá;542 - Industria textil, confección, del calzado y piel;..
Alcalá;543 - Industrias de otros materiales (madera, papel, plástico, vidrio);..
Alcalá;544 - Minería y extracción;..
Alcalá;581 - Arquitectura y urbanismo;1.179
Alcalá;582 - Construcción e ingeniería civil;..
Alcalá;6 - Agricultura y veterinaria;..
Alcalá;620 - Agricultura, ganadería y pesca;..
Alcalá;621 - Producción agrícola y explotación ganadera;..
Alcalá;622 - Horticultura;..
Alcalá;623 - Silvicultura;..
Alcalá;641 - Veterinaria;..
Alcalá;7 - Salud y servicios sociales;2.787
Alcalá;721 - Medicina;858
Alcalá;723 - Enfermería y atención a enfermos;608
Alcalá;724 - Estudios dentales;..
Alcalá;725 - Tecnología de diagnóstico y tratamiento médico;..
Alcalá;726 - Terapia y rehabilitación;290
Alcalá;727 - Farmacia;1.012
Alcalá;762 - Trabajo social y orientación;19
Alcalá;8 - Servicios;799
Alcalá;812 - Viajes, turismo y ocio;300
Alcalá;813 - Deportes;499
Alcalá;840 - Servicios de transporte;..
Alcalá;851 - Control y tecnología medioambiental;..
Alcalá;852 - Entornos naturales y vida salvaje;..
Alcalá;861 - Protección de la propiedad y las personas;..
Alicante;Total;27.158
Alicante;1 - Educación;3.274
Alicante;142 - Ciencias de la educación;343
Alicante;143 - Formación de docentes de enseñanza infantil;911
Alicante;144 - Formación de docentes de enseñanza primaria;854
Alicante;145 - Formación de docentes de enseñanza de temas especiales;320
Alicante;146 - Formación de docentes de formación profesional;846
Alicante;2 - Artes y humanidades;2.813
Alicante;210 - Artes;..
Alicante;211 - Bellas artes;..
Alicante;212 - Música y artes del espectáculo;..
Alicante;213 - Técnicas audiovisuales y medios de comunicación;..
Alicante;214 - Diseño;..
Alicante;220 - Humanidades;152
Alicante;222 - Lenguas extranjeras;1.549
Alicante;223 - Lenguas y dialectos españoles;455
Alicante;224 - Historia, filosofía y temas relacionados;..
Alicante;225 - Historia y arqueología;657
Alicante;226 - Filosofía y ética;..
Alicante;3 - Ciencias sociales, educación comercial y derecho;10.364
Alicante;310 - Ciencias sociales y del comportamiento;..
Alicante;311 - Psicología;..
Alicante;312 - Sociología, antropología y geografía social y cultural;1.050
Alicante;313 - Ciencias políticas;..
Alicante;314 - Economía;619
Alicante;321 - Periodismo;..
Alicante;322 - Biblioteconomía, documentación y archivos;..
Alicante;341 - Ventas al por mayor y al por menor;..
Alicante;342 - Marketing y publicidad;1.109
