Comunidades Autónomas;Nacionalidad (regiones);Sexo;Total
Cantabria;TOTAL;Ambos Sexos;10.478
Cantabria;TOTAL;Mujeres;5.257
Cantabria;TOTAL;Hombres;5.221
Cantabria;España;Ambos Sexos;10.268
Cantabria;España;Mujeres;5.135
Cantabria;España;Hombres;5.133
Cantabria;Unión Europea (27);Ambos Sexos;56
Cantabria;Unión Europea (27);Mujeres;35
Cantabria;Unión Europea (27);Hombres;21
Cantabria;Resto de Europa;Ambos Sexos;39
Cantabria;Resto de Europa;Mujeres;27
Cantabria;Resto de Europa;Hombres;12
Cantabria;América del Norte;Ambos Sexos;9
Cantabria;América del Norte;Mujeres;5
Cantabria;América del Norte;Hombres;4
Cantabria;América Central;Ambos Sexos;11
Cantabria;América Central;Mujeres;5
Cantabria;América Central;Hombres;6
Cantabria;América del Sur;Ambos Sexos;76
Cantabria;América del Sur;Mujeres;44
Cantabria;América del Sur;Hombres;32
Cantabria;Norte de África;Ambos Sexos;9
Cantabria;Norte de África;Mujeres;3
Cantabria;Norte de África;Hombres;6
Cantabria;Resto de África;Ambos Sexos;3
Cantabria;Resto de África;Mujeres;1
Cantabria;Resto de África;Hombres;2
Cantabria;Asia y Oceanía;Ambos Sexos;7
Cantabria;Asia y Oceanía;Mujeres;2
Cantabria;Asia y Oceanía;Hombres;5
Castilla - La Mancha;TOTAL;Ambos Sexos;27.328
Castilla - La Mancha;TOTAL;Mujeres;14.823
Castilla - La Mancha;TOTAL;Hombres;12.505
Castilla - La Mancha;España;Ambos Sexos;27.029
Castilla - La Mancha;España;Mujeres;14.644
Castilla - La Mancha;España;Hombres;12.385
Castilla - La Mancha;Unión Europea (27);Ambos Sexos;92
Castilla - La Mancha;Unión Europea (27);Mujeres;70
Castilla - La Mancha;Unión Europea (27);Hombres;22
Castilla - La Mancha;Resto de Europa;Ambos Sexos;12
Castilla - La Mancha;Resto de Europa;Mujeres;7
Castilla - La Mancha;Resto de Europa;Hombres;5
Castilla - La Mancha;América del Norte;Ambos Sexos;3
Castilla - La Mancha;América del Norte;Mujeres;1
Castilla - La Mancha;América del Norte;Hombres;2
Castilla - La Mancha;América Central;Ambos Sexos;13
Castilla - La Mancha;América Central;Mujeres;8
Castilla - La Mancha;América Central;Hombres;5
Castilla - La Mancha;América del Sur;Ambos Sexos;102
Castilla - La Mancha;América del Sur;Mujeres;59
Castilla - La Mancha;América del Sur;Hombres;43
Castilla - La Mancha;Norte de África;Ambos Sexos;30
Castilla - La Mancha;Norte de África;Mujeres;12
Castilla - La Mancha;Norte de África;Hombres;18
Castilla - La Mancha;Resto de África;Ambos Sexos;17
