Sexo;Universidad;Ámbito de estudio ISCED 1999;Total
Ambos Sexos;Total Universidades Públicas Presenciales;422 - Ciencias del medio ambiente;11.776
Ambos Sexos;Total Universidades Públicas Presenciales;440 - Ciencias Físicas, químicas, geológicas;131
Ambos Sexos;Total Universidades Públicas Presenciales;441 - Física;7.747
Ambos Sexos;Total Universidades Públicas Presenciales;442 - Química;13.293
Ambos Sexos;Total Universidades Públicas Presenciales;443 - Geología y meteorología;3.510
Ambos Sexos;Total Universidades Públicas Presenciales;461 - Matemáticas;7.312
Ambos Sexos;Total Universidades Públicas Presenciales;462 - Estadística;1.520
Ambos Sexos;Total Universidades Públicas Presenciales;481 - Ciencias de la computación;38.410
Ambos Sexos;Total Universidades Públicas Presenciales;Total Ingeniería, industria y construcción;200.451
Ambos Sexos;Total Universidades Públicas Presenciales;520 - Ingeniería y profesiones afines;26.032
Ambos Sexos;Total Universidades Públicas Presenciales;521 - Mecánica y metalurgia;29.942
Ambos Sexos;Total Universidades Públicas Presenciales;522 - Electricidad y energía;11.760
Ambos Sexos;Total Universidades Públicas Presenciales;523 - Electrónica y automática;37.577
Ambos Sexos;Total Universidades Públicas Presenciales;524 - Procesos químicos;16.700
Ambos Sexos;Total Universidades Públicas Presenciales;525 - Vehículos de motor, barcos y aeronaves;12.592
Ambos Sexos;Total Universidades Públicas Presenciales;541 - Industria de la alimentación;5.376
Ambos Sexos;Total Universidades Públicas Presenciales;542 - Industria textil, confección, del calzado y piel;377
Ambos Sexos;Total Universidades Públicas Presenciales;543 - Industrias de otros materiales (madera, papel, plástico, vidrio);2.294
Ambos Sexos;Total Universidades Públicas Presenciales;544 - Minería y extracción;3.409
Ambos Sexos;Total Universidades Públicas Presenciales;581 - Arquitectura y urbanismo;36.464
Ambos Sexos;Total Universidades Públicas Presenciales;582 - Construcción e ingeniería civil;17.928
Ambos Sexos;Total Universidades Públicas Presenciales;Total Agricultura y veterinaria;21.695
Ambos Sexos;Total Universidades Públicas Presenciales;620 - Agricultura, ganadería y pesca;..
