Tipo de universidad;Comunidad Autónoma;Nacionalidad (regiones);Sexo;Total
Univ. Públicas No Presenciales;Castilla y León;España;Hombres;..
Univ. Públicas No Presenciales;Castilla y León;Unión Europea (28);Ambos sexos;..
Univ. Públicas No Presenciales;Castilla y León;Unión Europea (28);Mujeres;..
Univ. Públicas No Presenciales;Castilla y León;Unión Europea (28);Hombres;..
Univ. Públicas No Presenciales;Castilla y León;Resto de Europa;Ambos sexos;..
Univ. Públicas No Presenciales;Castilla y León;Resto de Europa;Mujeres;..
Univ. Públicas No Presenciales;Castilla y León;Resto de Europa;Hombres;..
Univ. Públicas No Presenciales;Castilla y León;EE.UU. y Canadá;Ambos sexos;..
Univ. Públicas No Presenciales;Castilla y León;EE.UU. y Canadá;Mujeres;..
Univ. Públicas No Presenciales;Castilla y León;EE.UU. y Canadá;Hombres;..
Univ. Públicas No Presenciales;Castilla y León;América Latina y Caribe;Ambos sexos;..
Univ. Públicas No Presenciales;Castilla y León;América Latina y Caribe;Mujeres;..
Univ. Públicas No Presenciales;Castilla y León;América Latina y Caribe;Hombres;..
Univ. Públicas No Presenciales;Castilla y León;Norte de África;Ambos sexos;..
Univ. Públicas No Presenciales;Castilla y León;Norte de África;Mujeres;..
Univ. Públicas No Presenciales;Castilla y León;Norte de África;Hombres;..
Univ. Públicas No Presenciales;Castilla y León;Resto de África;Ambos sexos;..
Univ. Públicas No Presenciales;Castilla y León;Resto de África;Mujeres;..
Univ. Públicas No Presenciales;Castilla y León;Resto de África;Hombres;..
Univ. Públicas No Presenciales;Castilla y León;Asia y Oceanía;Ambos sexos;..
Univ. Públicas No Presenciales;Castilla y León;Asia y Oceanía;Mujeres;..
Univ. Públicas No Presenciales;Castilla y León;Asia y Oceanía;Hombres;..
Univ. Públicas No Presenciales;Cataluña;Total;Ambos sexos;..
Univ. Públicas No Presenciales;Cataluña;Total;Mujeres;..
Univ. Públicas No Presenciales;Cataluña;Total;Hombres;..
Univ. Públicas No Presenciales;Cataluña;España;Ambos sexos;..
Univ. Públicas No Presenciales;Cataluña;España;Mujeres;..
Univ. Públicas No Presenciales;Cataluña;España;Hombres;..
Univ. Públicas No Presenciales;Cataluña;Unión Europea (28);Ambos sexos;..
Univ. Públicas No Presenciales;Cataluña;Unión Europea (28);Mujeres;..
Univ. Públicas No Presenciales;Cataluña;Unión Europea (28);Hombres;..
Univ. Públicas No Presenciales;Cataluña;Resto de Europa;Ambos sexos;..
Univ. Públicas No Presenciales;Cataluña;Resto de Europa;Mujeres;..
Univ. Públicas No Presenciales;Cataluña;Resto de Europa;Hombres;..
Univ. Públicas No Presenciales;Cataluña;EE.UU. y Canadá;Ambos sexos;..
Univ. Públicas No Presenciales;Cataluña;EE.UU. y Canadá;Mujeres;..
Univ. Públicas No Presenciales;Cataluña;EE.UU. y Canadá;Hombres;..
Univ. Públicas No Presenciales;Cataluña;América Latina y Caribe;Ambos sexos;..
Univ. Públicas No Presenciales;Cataluña;América Latina y Caribe;Mujeres;..
Univ. Públicas No Presenciales;Cataluña;América Latina y Caribe;Hombres;..
Univ. Públicas No Presenciales;Cataluña;Norte de África;Ambos sexos;..
Univ. Públicas No Presenciales;Cataluña;Norte de África;Mujeres;..
Univ. Públicas No Presenciales;Cataluña;Norte de África;Hombres;..
Univ. Públicas No Presenciales;Cataluña;Resto de África;Ambos sexos;..
Univ. Públicas No Presenciales;Cataluña;Resto de África;Mujeres;..
Univ. Públicas No Presenciales;Cataluña;Resto de África;Hombres;..
Univ. Públicas No Presenciales;Cataluña;Asia y Oceanía;Ambos sexos;..
Univ. Públicas No Presenciales;Cataluña;Asia y Oceanía;Mujeres;..
Univ. Públicas No Presenciales;Cataluña;Asia y Oceanía;Hombres;..
Univ. Públicas No Presenciales;Comunitat Valenciana;Total;Ambos sexos;..
Univ. Públicas No Presenciales;Comunitat Valenciana;Total;Mujeres;..
Univ. Públicas No Presenciales;Comunitat Valenciana;Total;Hombres;..
Univ. Públicas No Presenciales;Comunitat Valenciana;España;Ambos sexos;..
Univ. Públicas No Presenciales;Comunitat Valenciana;España;Mujeres;..
Univ. Públicas No Presenciales;Comunitat Valenciana;España;Hombres;..
Univ. Públicas No Presenciales;Comunitat Valenciana;Unión Europea (28);Ambos sexos;..
Univ. Públicas No Presenciales;Comunitat Valenciana;Unión Europea (28);Mujeres;..
Univ. Públicas No Presenciales;Comunitat Valenciana;Unión Europea (28);Hombres;..
Univ. Públicas No Presenciales;Comunitat Valenciana;Resto de Europa;Ambos sexos;..
Univ. Públicas No Presenciales;Comunitat Valenciana;Resto de Europa;Mujeres;..
Univ. Públicas No Presenciales;Comunitat Valenciana;Resto de Europa;Hombres;..
Univ. Públicas No Presenciales;Comunitat Valenciana;EE.UU. y Canadá;Ambos sexos;..
Univ. Públicas No Presenciales;Comunitat Valenciana;EE.UU. y Canadá;Mujeres;..
Univ. Públicas No Presenciales;Comunitat Valenciana;EE.UU. y Canadá;Hombres;..
Univ. Públicas No Presenciales;Comunitat Valenciana;América Latina y Caribe;Ambos sexos;..
Univ. Públicas No Presenciales;Comunitat Valenciana;América Latina y Caribe;Mujeres;..
Univ. Públicas No Presenciales;Comunitat Valenciana;América Latina y Caribe;Hombres;..
Univ. Públicas No Presenciales;Comunitat Valenciana;Norte de África;Ambos sexos;..
Univ. Públicas No Presenciales;Comunitat Valenciana;Norte de África;Mujeres;..
Univ. Públicas No Presenciales;Comunitat Valenciana;Norte de África;Hombres;..
Univ. Públicas No Presenciales;Comunitat Valenciana;Resto de África;Ambos sexos;..
Univ. Públicas No Presenciales;Comunitat Valenciana;Resto de África;Mujeres;..
Univ. Públicas No Presenciales;Comunitat Valenciana;Resto de África;Hombres;..
Univ. Públicas No Presenciales;Comunitat Valenciana;Asia y Oceanía;Ambos sexos;..
Univ. Públicas No Presenciales;Comunitat Valenciana;Asia y Oceanía;Mujeres;..
Univ. Públicas No Presenciales;Comunitat Valenciana;Asia y Oceanía;Hombres;..
Univ. Públicas No Presenciales;Estado;Total;Ambos sexos;150.205
Univ. Públicas No Presenciales;Estado;Total;Mujeres;82.296
Univ. Públicas No Presenciales;Estado;Total;Hombres;67.909
Univ. Públicas No Presenciales;Estado;España;Ambos sexos;145.498
Univ. Públicas No Presenciales;Estado;España;Mujeres;78.981
Univ. Públicas No Presenciales;Estado;España;Hombres;66.517
Univ. Públicas No Presenciales;Estado;Unión Europea (28);Ambos sexos;2.180
Univ. Públicas No Presenciales;Estado;Unión Europea (28);Mujeres;1.608
Univ. Públicas No Presenciales;Estado;Unión Europea (28);Hombres;572
Univ. Públicas No Presenciales;Estado;Resto de Europa;Ambos sexos;390
Univ. Públicas No Presenciales;Estado;Resto de Europa;Mujeres;308
Univ. Públicas No Presenciales;Estado;Resto de Europa;Hombres;82
Univ. Públicas No Presenciales;Estado;EE.UU. y Canadá;Ambos sexos;43
Univ. Públicas No Presenciales;Estado;EE.UU. y Canadá;Mujeres;27
Univ. Públicas No Presenciales;Estado;EE.UU. y Canadá;Hombres;16
Univ. Públicas No Presenciales;Estado;América Latina y Caribe;Ambos sexos;1.624
Univ. Públicas No Presenciales;Estado;América Latina y Caribe;Mujeres;1.170
Univ. Públicas No Presenciales;Estado;América Latina y Caribe;Hombres;454
Univ. Públicas No Presenciales;Estado;Norte de África;Ambos sexos;179
Univ. Públicas No Presenciales;Estado;Norte de África;Mujeres;108
Univ. Públicas No Presenciales;Estado;Norte de África;Hombres;71
Univ. Públicas No Presenciales;Estado;Resto de África;Ambos sexos;221
Univ. Públicas No Presenciales;Estado;Resto de África;Mujeres;53
Univ. Públicas No Presenciales;Estado;Resto de África;Hombres;168
Univ. Públicas No Presenciales;Estado;Asia y Oceanía;Ambos sexos;70
Univ. Públicas No Presenciales;Estado;Asia y Oceanía;Mujeres;41
Univ. Públicas No Presenciales;Estado;Asia y Oceanía;Hombres;29
Univ. Públicas No Presenciales;Extremadura;Total;Ambos sexos;..
Univ. Públicas No Presenciales;Extremadura;Total;Mujeres;..
Univ. Públicas No Presenciales;Extremadura;Total;Hombres;..
Univ. Públicas No Presenciales;Extremadura;España;Ambos sexos;..
Univ. Públicas No Presenciales;Extremadura;España;Mujeres;..
Univ. Públicas No Presenciales;Extremadura;España;Hombres;..
Univ. Públicas No Presenciales;Extremadura;Unión Europea (28);Ambos sexos;..
Univ. Públicas No Presenciales;Extremadura;Unión Europea (28);Mujeres;..
Univ. Públicas No Presenciales;Extremadura;Unión Europea (28);Hombres;..
Univ. Públicas No Presenciales;Extremadura;Resto de Europa;Ambos sexos;..
Univ. Públicas No Presenciales;Extremadura;Resto de Europa;Mujeres;..
Univ. Públicas No Presenciales;Extremadura;Resto de Europa;Hombres;..
Univ. Públicas No Presenciales;Extremadura;EE.UU. y Canadá;Ambos sexos;..
Univ. Públicas No Presenciales;Extremadura;EE.UU. y Canadá;Mujeres;..
Univ. Públicas No Presenciales;Extremadura;EE.UU. y Canadá;Hombres;..
Univ. Públicas No Presenciales;Extremadura;América Latina y Caribe;Ambos sexos;..
Univ. Públicas No Presenciales;Extremadura;América Latina y Caribe;Mujeres;..
Univ. Públicas No Presenciales;Extremadura;América Latina y Caribe;Hombres;..
Univ. Públicas No Presenciales;Extremadura;Norte de África;Ambos sexos;..
Univ. Públicas No Presenciales;Extremadura;Norte de África;Mujeres;..
Univ. Públicas No Presenciales;Extremadura;Norte de África;Hombres;..
Univ. Públicas No Presenciales;Extremadura;Resto de África;Ambos sexos;..
Univ. Públicas No Presenciales;Extremadura;Resto de África;Mujeres;..
Univ. Públicas No Presenciales;Extremadura;Resto de África;Hombres;..
Univ. Públicas No Presenciales;Extremadura;Asia y Oceanía;Ambos sexos;..
Univ. Públicas No Presenciales;Extremadura;Asia y Oceanía;Mujeres;..
Univ. Públicas No Presenciales;Extremadura;Asia y Oceanía;Hombres;..
Univ. Públicas No Presenciales;Galicia;Total;Ambos sexos;..
Univ. Públicas No Presenciales;Galicia;Total;Mujeres;..
Univ. Públicas No Presenciales;Galicia;Total;Hombres;..
Univ. Públicas No Presenciales;Galicia;España;Ambos sexos;..
Univ. Públicas No Presenciales;Galicia;España;Mujeres;..
Univ. Públicas No Presenciales;Galicia;España;Hombres;..
Univ. Públicas No Presenciales;Galicia;Unión Europea (28);Ambos sexos;..
Univ. Públicas No Presenciales;Galicia;Unión Europea (28);Mujeres;..
Univ. Públicas No Presenciales;Galicia;Unión Europea (28);Hombres;..
Univ. Públicas No Presenciales;Galicia;Resto de Europa;Ambos sexos;..
Univ. Públicas No Presenciales;Galicia;Resto de Europa;Mujeres;..
Univ. Públicas No Presenciales;Galicia;Resto de Europa;Hombres;..
Univ. Públicas No Presenciales;Galicia;EE.UU. y Canadá;Ambos sexos;..
Univ. Públicas No Presenciales;Galicia;EE.UU. y Canadá;Mujeres;..
Univ. Públicas No Presenciales;Galicia;EE.UU. y Canadá;Hombres;..
Univ. Públicas No Presenciales;Galicia;América Latina y Caribe;Ambos sexos;..
Univ. Públicas No Presenciales;Galicia;América Latina y Caribe;Mujeres;..
Univ. Públicas No Presenciales;Galicia;América Latina y Caribe;Hombres;..
Univ. Públicas No Presenciales;Galicia;Norte de África;Ambos sexos;..
Univ. Públicas No Presenciales;Galicia;Norte de África;Mujeres;..
Univ. Públicas No Presenciales;Galicia;Norte de África;Hombres;..
Univ. Públicas No Presenciales;Galicia;Resto de África;Ambos sexos;..
Univ. Públicas No Presenciales;Galicia;Resto de África;Mujeres;..
Univ. Públicas No Presenciales;Galicia;Resto de África;Hombres;..
Univ. Públicas No Presenciales;Galicia;Asia y Oceanía;Ambos sexos;..
Univ. Públicas No Presenciales;Galicia;Asia y Oceanía;Mujeres;..
Univ. Públicas No Presenciales;Galicia;Asia y Oceanía;Hombres;..
Univ. Públicas No Presenciales;Madrid (Comunidad de);Total;Ambos sexos;..
Univ. Públicas No Presenciales;Madrid (Comunidad de);Total;Mujeres;..
Univ. Públicas No Presenciales;Madrid (Comunidad de);Total;Hombres;..
Univ. Públicas No Presenciales;Madrid (Comunidad de);España;Ambos sexos;..
Univ. Públicas No Presenciales;Madrid (Comunidad de);España;Mujeres;..
Univ. Públicas No Presenciales;Madrid (Comunidad de);España;Hombres;..
Univ. Públicas No Presenciales;Madrid (Comunidad de);Unión Europea (28);Ambos sexos;..
Univ. Públicas No Presenciales;Madrid (Comunidad de);Unión Europea (28);Mujeres;..
Univ. Públicas No Presenciales;Madrid (Comunidad de);Unión Europea (28);Hombres;..
Univ. Públicas No Presenciales;Madrid (Comunidad de);Resto de Europa;Ambos sexos;..
Univ. Públicas No Presenciales;Madrid (Comunidad de);Resto de Europa;Mujeres;..
Univ. Públicas No Presenciales;Madrid (Comunidad de);Resto de Europa;Hombres;..
Univ. Públicas No Presenciales;Madrid (Comunidad de);EE.UU. y Canadá;Ambos sexos;..
Univ. Públicas No Presenciales;Madrid (Comunidad de);EE.UU. y Canadá;Mujeres;..
Univ. Públicas No Presenciales;Madrid (Comunidad de);EE.UU. y Canadá;Hombres;..
Univ. Públicas No Presenciales;Madrid (Comunidad de);América Latina y Caribe;Ambos sexos;..
Univ. Públicas No Presenciales;Madrid (Comunidad de);América Latina y Caribe;Mujeres;..
Univ. Públicas No Presenciales;Madrid (Comunidad de);América Latina y Caribe;Hombres;..
Univ. Públicas No Presenciales;Madrid (Comunidad de);Norte de África;Ambos sexos;..
Univ. Públicas No Presenciales;Madrid (Comunidad de);Norte de África;Mujeres;..
Univ. Públicas No Presenciales;Madrid (Comunidad de);Norte de África;Hombres;..
Univ. Públicas No Presenciales;Madrid (Comunidad de);Resto de África;Ambos sexos;..
Univ. Públicas No Presenciales;Madrid (Comunidad de);Resto de África;Mujeres;..
Univ. Públicas No Presenciales;Madrid (Comunidad de);Resto de África;Hombres;..
Univ. Públicas No Presenciales;Madrid (Comunidad de);Asia y Oceanía;Ambos sexos;..
Univ. Públicas No Presenciales;Madrid (Comunidad de);Asia y Oceanía;Mujeres;..
Univ. Públicas No Presenciales;Madrid (Comunidad de);Asia y Oceanía;Hombres;..
Univ. Públicas No Presenciales;Murcia (Región de);Total;Ambos sexos;..
Univ. Públicas No Presenciales;Murcia (Región de);Total;Mujeres;..
Univ. Públicas No Presenciales;Murcia (Región de);Total;Hombres;..
Univ. Públicas No Presenciales;Murcia (Región de);España;Ambos sexos;..
Univ. Públicas No Presenciales;Murcia (Región de);España;Mujeres;..
Univ. Públicas No Presenciales;Murcia (Región de);España;Hombres;..
Univ. Públicas No Presenciales;Murcia (Región de);Unión Europea (28);Ambos sexos;..
Univ. Públicas No Presenciales;Murcia (Región de);Unión Europea (28);Mujeres;..
Univ. Públicas No Presenciales;Murcia (Región de);Unión Europea (28);Hombres;..
Univ. Públicas No Presenciales;Murcia (Región de);Resto de Europa;Ambos sexos;..
Univ. Públicas No Presenciales;Murcia (Región de);Resto de Europa;Mujeres;..
Univ. Públicas No Presenciales;Murcia (Región de);Resto de Europa;Hombres;..
Univ. Públicas No Presenciales;Murcia (Región de);EE.UU. y Canadá;Ambos sexos;..
Univ. Públicas No Presenciales;Murcia (Región de);EE.UU. y Canadá;Mujeres;..
Univ. Públicas No Presenciales;Murcia (Región de);EE.UU. y Canadá;Hombres;..
Univ. Públicas No Presenciales;Murcia (Región de);América Latina y Caribe;Ambos sexos;..
Univ. Públicas No Presenciales;Murcia (Región de);América Latina y Caribe;Mujeres;..
Univ. Públicas No Presenciales;Murcia (Región de);América Latina y Caribe;Hombres;..
Univ. Públicas No Presenciales;Murcia (Región de);Norte de África;Ambos sexos;..
Univ. Públicas No Presenciales;Murcia (Región de);Norte de África;Mujeres;..
Univ. Públicas No Presenciales;Murcia (Región de);Norte de África;Hombres;..
Univ. Públicas No Presenciales;Murcia (Región de);Resto de África;Ambos sexos;..
Univ. Públicas No Presenciales;Murcia (Región de);Resto de África;Mujeres;..
Univ. Públicas No Presenciales;Murcia (Región de);Resto de África;Hombres;..
Univ. Públicas No Presenciales;Murcia (Región de);Asia y Oceanía;Ambos sexos;..
Univ. Públicas No Presenciales;Murcia (Región de);Asia y Oceanía;Mujeres;..
Univ. Públicas No Presenciales;Murcia (Región de);Asia y Oceanía;Hombres;..
Univ. Públicas No Presenciales;Navarra (Comunidad Foral de);Total;Ambos sexos;..
Univ. Públicas No Presenciales;Navarra (Comunidad Foral de);Total;Mujeres;..
Univ. Públicas No Presenciales;Navarra (Comunidad Foral de);Total;Hombres;..
Univ. Públicas No Presenciales;Navarra (Comunidad Foral de);España;Ambos sexos;..
Univ. Públicas No Presenciales;Navarra (Comunidad Foral de);España;Mujeres;..
Univ. Públicas No Presenciales;Navarra (Comunidad Foral de);España;Hombres;..
Univ. Públicas No Presenciales;Navarra (Comunidad Foral de);Unión Europea (28);Ambos sexos;..
Univ. Públicas No Presenciales;Navarra (Comunidad Foral de);Unión Europea (28);Mujeres;..
Univ. Públicas No Presenciales;Navarra (Comunidad Foral de);Unión Europea (28);Hombres;..
Univ. Públicas No Presenciales;Navarra (Comunidad Foral de);Resto de Europa;Ambos sexos;..
Univ. Públicas No Presenciales;Navarra (Comunidad Foral de);Resto de Europa;Mujeres;..
Univ. Públicas No Presenciales;Navarra (Comunidad Foral de);Resto de Europa;Hombres;..
Univ. Públicas No Presenciales;Navarra (Comunidad Foral de);EE.UU. y Canadá;Ambos sexos;..
Univ. Públicas No Presenciales;Navarra (Comunidad Foral de);EE.UU. y Canadá;Mujeres;..
Univ. Públicas No Presenciales;Navarra (Comunidad Foral de);EE.UU. y Canadá;Hombres;..
Univ. Públicas No Presenciales;Navarra (Comunidad Foral de);América Latina y Caribe;Ambos sexos;..
Univ. Públicas No Presenciales;Navarra (Comunidad Foral de);América Latina y Caribe;Mujeres;..
Univ. Públicas No Presenciales;Navarra (Comunidad Foral de);América Latina y Caribe;Hombres;..
Univ. Públicas No Presenciales;Navarra (Comunidad Foral de);Norte de África;Ambos sexos;..
Univ. Públicas No Presenciales;Navarra (Comunidad Foral de);Norte de África;Mujeres;..
Univ. Públicas No Presenciales;Navarra (Comunidad Foral de);Norte de África;Hombres;..
Univ. Públicas No Presenciales;Navarra (Comunidad Foral de);Resto de África;Ambos sexos;..
Univ. Públicas No Presenciales;Navarra (Comunidad Foral de);Resto de África;Mujeres;..
Univ. Públicas No Presenciales;Navarra (Comunidad Foral de);Resto de África;Hombres;..
Univ. Públicas No Presenciales;Navarra (Comunidad Foral de);Asia y Oceanía;Ambos sexos;..
Univ. Públicas No Presenciales;Navarra (Comunidad Foral de);Asia y Oceanía;Mujeres;..
Univ. Públicas No Presenciales;Navarra (Comunidad Foral de);Asia y Oceanía;Hombres;..
Univ. Públicas No Presenciales;País Vasco;Total;Ambos sexos;..
Univ. Públicas No Presenciales;País Vasco;Total;Mujeres;..
Univ. Públicas No Presenciales;País Vasco;Total;Hombres;..
Univ. Públicas No Presenciales;País Vasco;España;Ambos sexos;..
Univ. Públicas No Presenciales;País Vasco;España;Mujeres;..
Univ. Públicas No Presenciales;País Vasco;España;Hombres;..
Univ. Públicas No Presenciales;País Vasco;Unión Europea (28);Ambos sexos;..
Univ. Públicas No Presenciales;País Vasco;Unión Europea (28);Mujeres;..
Univ. Públicas No Presenciales;País Vasco;Unión Europea (28);Hombres;..
Univ. Públicas No Presenciales;País Vasco;Resto de Europa;Ambos sexos;..
Univ. Públicas No Presenciales;País Vasco;Resto de Europa;Mujeres;..
Univ. Públicas No Presenciales;País Vasco;Resto de Europa;Hombres;..
Univ. Públicas No Presenciales;País Vasco;EE.UU. y Canadá;Ambos sexos;..
Univ. Públicas No Presenciales;País Vasco;EE.UU. y Canadá;Mujeres;..
Univ. Públicas No Presenciales;País Vasco;EE.UU. y Canadá;Hombres;..
Univ. Públicas No Presenciales;País Vasco;América Latina y Caribe;Ambos sexos;..
Univ. Públicas No Presenciales;País Vasco;América Latina y Caribe;Mujeres;..
Univ. Públicas No Presenciales;País Vasco;América Latina y Caribe;Hombres;..
Univ. Públicas No Presenciales;País Vasco;Norte de África;Ambos sexos;..
Univ. Públicas No Presenciales;País Vasco;Norte de África;Mujeres;..
Univ. Públicas No Presenciales;País Vasco;Norte de África;Hombres;..
Univ. Públicas No Presenciales;País Vasco;Resto de África;Ambos sexos;..
Univ. Públicas No Presenciales;País Vasco;Resto de África;Mujeres;..
Univ. Públicas No Presenciales;País Vasco;Resto de África;Hombres;..
Univ. Públicas No Presenciales;País Vasco;Asia y Oceanía;Ambos sexos;..
Univ. Públicas No Presenciales;País Vasco;Asia y Oceanía;Mujeres;..
Univ. Públicas No Presenciales;País Vasco;Asia y Oceanía;Hombres;..
Univ. Públicas No Presenciales;Rioja (la);Total;Ambos sexos;..
Univ. Públicas No Presenciales;Rioja (la);Total;Mujeres;..
Univ. Públicas No Presenciales;Rioja (la);Total;Hombres;..
Univ. Públicas No Presenciales;Rioja (la);España;Ambos sexos;..
Univ. Públicas No Presenciales;Rioja (la);España;Mujeres;..
Univ. Públicas No Presenciales;Rioja (la);España;Hombres;..
Univ. Públicas No Presenciales;Rioja (la);Unión Europea (28);Ambos sexos;..
Univ. Públicas No Presenciales;Rioja (la);Unión Europea (28);Mujeres;..
Univ. Públicas No Presenciales;Rioja (la);Unión Europea (28);Hombres;..
Univ. Públicas No Presenciales;Rioja (la);Resto de Europa;Ambos sexos;..
Univ. Públicas No Presenciales;Rioja (la);Resto de Europa;Mujeres;..
Univ. Públicas No Presenciales;Rioja (la);Resto de Europa;Hombres;..
Univ. Públicas No Presenciales;Rioja (la);EE.UU. y Canadá;Ambos sexos;..
Univ. Públicas No Presenciales;Rioja (la);EE.UU. y Canadá;Mujeres;..
Univ. Públicas No Presenciales;Rioja (la);EE.UU. y Canadá;Hombres;..
Univ. Públicas No Presenciales;Rioja (la);América Latina y Caribe;Ambos sexos;..
Univ. Públicas No Presenciales;Rioja (la);América Latina y Caribe;Mujeres;..
Univ. Públicas No Presenciales;Rioja (la);América Latina y Caribe;Hombres;..
Univ. Públicas No Presenciales;Rioja (la);Norte de África;Ambos sexos;..
Univ. Públicas No Presenciales;Rioja (la);Norte de África;Mujeres;..
Univ. Públicas No Presenciales;Rioja (la);Norte de África;Hombres;..
Univ. Públicas No Presenciales;Rioja (la);Resto de África;Ambos sexos;..
Univ. Públicas No Presenciales;Rioja (la);Resto de África;Mujeres;..
Univ. Públicas No Presenciales;Rioja (la);Resto de África;Hombres;..
Univ. Públicas No Presenciales;Rioja (la);Asia y Oceanía;Ambos sexos;..
Univ. Públicas No Presenciales;Rioja (la);Asia y Oceanía;Mujeres;..
Univ. Públicas No Presenciales;Rioja (la);Asia y Oceanía;Hombres;..
Universidades Privadas;Total;Total;Ambos sexos;176.047
Universidades Privadas;Total;Total;Mujeres;97.223
Universidades Privadas;Total;Total;Hombres;78.824
Universidades Privadas;Total;España;Ambos sexos;165.784
Universidades Privadas;Total;España;Mujeres;92.040
Universidades Privadas;Total;España;Hombres;73.744
Universidades Privadas;Total;Unión Europea (28);Ambos sexos;6.682
Universidades Privadas;Total;Unión Europea (28);Mujeres;3.263
Universidades Privadas;Total;Unión Europea (28);Hombres;3.419
Universidades Privadas;Total;Resto de Europa;Ambos sexos;711
Universidades Privadas;Total;Resto de Europa;Mujeres;400
Universidades Privadas;Total;Resto de Europa;Hombres;311
Universidades Privadas;Total;EE.UU. y Canadá;Ambos sexos;146
Universidades Privadas;Total;EE.UU. y Canadá;Mujeres;79
Universidades Privadas;Total;EE.UU. y Canadá;Hombres;67
Universidades Privadas;Total;América Latina y Caribe;Ambos sexos;1.775
Universidades Privadas;Total;América Latina y Caribe;Mujeres;979
Universidades Privadas;Total;América Latina y Caribe;Hombres;796
Universidades Privadas;Total;Norte de África;Ambos sexos;274
Universidades Privadas;Total;Norte de África;Mujeres;156
Universidades Privadas;Total;Norte de África;Hombres;118
Universidades Privadas;Total;Resto de África;Ambos sexos;138
Universidades Privadas;Total;Resto de África;Mujeres;63
Universidades Privadas;Total;Resto de África;Hombres;75
Universidades Privadas;Total;Asia y Oceanía;Ambos sexos;537
Universidades Privadas;Total;Asia y Oceanía;Mujeres;243
Universidades Privadas;Total;Asia y Oceanía;Hombres;294
Universidades Privadas;Andalucía;Total;Ambos sexos;1.151
Universidades Privadas;Andalucía;Total;Mujeres;535
Universidades Privadas;Andalucía;Total;Hombres;616
Universidades Privadas;Andalucía;España;Ambos sexos;1.148
Universidades Privadas;Andalucía;España;Mujeres;533
Universidades Privadas;Andalucía;España;Hombres;615
Universidades Privadas;Andalucía;Unión Europea (28);Ambos sexos;1
Universidades Privadas;Andalucía;Unión Europea (28);Mujeres;1
Universidades Privadas;Andalucía;Unión Europea (28);Hombres;..
Universidades Privadas;Andalucía;Resto de Europa;Ambos sexos;..
Universidades Privadas;Andalucía;Resto de Europa;Mujeres;..
Universidades Privadas;Andalucía;Resto de Europa;Hombres;..
Universidades Privadas;Andalucía;EE.UU. y Canadá;Ambos sexos;1
Universidades Privadas;Andalucía;EE.UU. y Canadá;Mujeres;..
Universidades Privadas;Andalucía;EE.UU. y Canadá;Hombres;1
Universidades Privadas;Andalucía;América Latina y Caribe;Ambos sexos;1
Universidades Privadas;Andalucía;América Latina y Caribe;Mujeres;1
Universidades Privadas;Andalucía;América Latina y Caribe;Hombres;..
Universidades Privadas;Andalucía;Norte de África;Ambos sexos;..
Universidades Privadas;Andalucía;Norte de África;Mujeres;..
Universidades Privadas;Andalucía;Norte de África;Hombres;..
Universidades Privadas;Andalucía;Resto de África;Ambos sexos;..
Universidades Privadas;Andalucía;Resto de África;Mujeres;..
Universidades Privadas;Andalucía;Resto de África;Hombres;..
Universidades Privadas;Andalucía;Asia y Oceanía;Ambos sexos;..
Universidades Privadas;Andalucía;Asia y Oceanía;Mujeres;..
Universidades Privadas;Andalucía;Asia y Oceanía;Hombres;..
Universidades Privadas;Aragón;Total;Ambos sexos;2.009
Universidades Privadas;Aragón;Total;Mujeres;1.040
Universidades Privadas;Aragón;Total;Hombres;969
Universidades Privadas;Aragón;España;Ambos sexos;1.689
Universidades Privadas;Aragón;España;Mujeres;864
Universidades Privadas;Aragón;España;Hombres;825
Universidades Privadas;Aragón;Unión Europea (28);Ambos sexos;315
Universidades Privadas;Aragón;Unión Europea (28);Mujeres;175
Universidades Privadas;Aragón;Unión Europea (28);Hombres;140
Universidades Privadas;Aragón;Resto de Europa;Ambos sexos;2
Universidades Privadas;Aragón;Resto de Europa;Mujeres;..
Universidades Privadas;Aragón;Resto de Europa;Hombres;2
Universidades Privadas;Aragón;EE.UU. y Canadá;Ambos sexos;..
Universidades Privadas;Aragón;EE.UU. y Canadá;Mujeres;..
Universidades Privadas;Aragón;EE.UU. y Canadá;Hombres;..
Universidades Privadas;Aragón;América Latina y Caribe;Ambos sexos;1
Universidades Privadas;Aragón;América Latina y Caribe;Mujeres;1
Universidades Privadas;Aragón;América Latina y Caribe;Hombres;..
Universidades Privadas;Aragón;Norte de África;Ambos sexos;1
Universidades Privadas;Aragón;Norte de África;Mujeres;..
Universidades Privadas;Aragón;Norte de África;Hombres;1
Universidades Privadas;Aragón;Resto de África;Ambos sexos;1
Universidades Privadas;Aragón;Resto de África;Mujeres;..
Universidades Privadas;Aragón;Resto de África;Hombres;1
Universidades Privadas;Aragón;Asia y Oceanía;Ambos sexos;..
Universidades Privadas;Aragón;Asia y Oceanía;Mujeres;..
Universidades Privadas;Aragón;Asia y Oceanía;Hombres;..
Universidades Privadas;Asturias (Principado de);Total;Ambos sexos;..
Universidades Privadas;Asturias (Principado de);Total;Mujeres;..
Universidades Privadas;Asturias (Principado de);Total;Hombres;..
Universidades Privadas;Asturias (Principado de);España;Ambos sexos;..
Universidades Privadas;Asturias (Principado de);España;Mujeres;..
Universidades Privadas;Asturias (Principado de);España;Hombres;..
