Tipo de universidad;Comunidad Autónoma;Nacionalidad (regiones);Sexo;Total
Total Universidades;Cataluña;Resto de Europa;Mujeres;991
Total Universidades;Cataluña;Resto de Europa;Hombres;715
Total Universidades;Cataluña;EE.UU. y Canadá;Ambos sexos;58
Total Universidades;Cataluña;EE.UU. y Canadá;Mujeres;33
Total Universidades;Cataluña;EE.UU. y Canadá;Hombres;25
Total Universidades;Cataluña;América Latina y Caribe;Ambos sexos;2.747
Total Universidades;Cataluña;América Latina y Caribe;Mujeres;1.714
Total Universidades;Cataluña;América Latina y Caribe;Hombres;1.033
Total Universidades;Cataluña;Norte de África;Ambos sexos;757
Total Universidades;Cataluña;Norte de África;Mujeres;431
Total Universidades;Cataluña;Norte de África;Hombres;326
Total Universidades;Cataluña;Resto de África;Ambos sexos;149
Total Universidades;Cataluña;Resto de África;Mujeres;73
Total Universidades;Cataluña;Resto de África;Hombres;76
Total Universidades;Cataluña;Asia y Oceanía;Ambos sexos;864
Total Universidades;Cataluña;Asia y Oceanía;Mujeres;458
Total Universidades;Cataluña;Asia y Oceanía;Hombres;406
Total Universidades;Comunitat Valenciana;Total;Ambos sexos;133.053
Total Universidades;Comunitat Valenciana;Total;Mujeres;71.114
Total Universidades;Comunitat Valenciana;Total;Hombres;61.939
Total Universidades;Comunitat Valenciana;España;Ambos sexos;125.564
Total Universidades;Comunitat Valenciana;España;Mujeres;66.718
Total Universidades;Comunitat Valenciana;España;Hombres;58.846
Total Universidades;Comunitat Valenciana;Unión Europea (28);Ambos sexos;4.006
Total Universidades;Comunitat Valenciana;Unión Europea (28);Mujeres;2.397
Total Universidades;Comunitat Valenciana;Unión Europea (28);Hombres;1.609
Total Universidades;Comunitat Valenciana;Resto de Europa;Ambos sexos;747
Total Universidades;Comunitat Valenciana;Resto de Europa;Mujeres;478
Total Universidades;Comunitat Valenciana;Resto de Europa;Hombres;269
Total Universidades;Comunitat Valenciana;EE.UU. y Canadá;Ambos sexos;61
Total Universidades;Comunitat Valenciana;EE.UU. y Canadá;Mujeres;24
Total Universidades;Comunitat Valenciana;EE.UU. y Canadá;Hombres;37
Total Universidades;Comunitat Valenciana;América Latina y Caribe;Ambos sexos;1.423
Total Universidades;Comunitat Valenciana;América Latina y Caribe;Mujeres;819
Total Universidades;Comunitat Valenciana;América Latina y Caribe;Hombres;604
Total Universidades;Comunitat Valenciana;Norte de África;Ambos sexos;561
Total Universidades;Comunitat Valenciana;Norte de África;Mujeres;315
Total Universidades;Comunitat Valenciana;Norte de África;Hombres;246
Total Universidades;Comunitat Valenciana;Resto de África;Ambos sexos;131
Total Universidades;Comunitat Valenciana;Resto de África;Mujeres;67
Total Universidades;Comunitat Valenciana;Resto de África;Hombres;64
Total Universidades;Comunitat Valenciana;Asia y Oceanía;Ambos sexos;560
Total Universidades;Comunitat Valenciana;Asia y Oceanía;Mujeres;296
Total Universidades;Comunitat Valenciana;Asia y Oceanía;Hombres;264
Total Universidades;Estado;Total;Ambos sexos;150.205
Total Universidades;Estado;Total;Mujeres;82.296
Total Universidades;Estado;Total;Hombres;67.909
Total Universidades;Estado;España;Ambos sexos;145.498
Total Universidades;Estado;España;Mujeres;78.981
Total Universidades;Estado;España;Hombres;66.517
Total Universidades;Estado;Unión Europea (28);Ambos sexos;2.180
Total Universidades;Estado;Unión Europea (28);Mujeres;1.608
Total Universidades;Estado;Unión Europea (28);Hombres;572
Total Universidades;Estado;Resto de Europa;Ambos sexos;390
Total Universidades;Estado;Resto de Europa;Mujeres;308
Total Universidades;Estado;Resto de Europa;Hombres;82
Total Universidades;Estado;EE.UU. y Canadá;Ambos sexos;43
Total Universidades;Estado;EE.UU. y Canadá;Mujeres;27
Total Universidades;Estado;EE.UU. y Canadá;Hombres;16
Total Universidades;Estado;América Latina y Caribe;Ambos sexos;1.624
Total Universidades;Estado;América Latina y Caribe;Mujeres;1.170
