Nivel y Ciclo;Rama de la enseñanza;Tipo de universidad;Tipo de centro;Sexo;Total
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades públicas;Centros adscritos;Mujeres;9.603
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades públicas;Centros adscritos;Hombres;3.160
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades privadas;Total Centros;Ambos Sexos;32.090
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades privadas;Total Centros;Mujeres;20.669
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades privadas;Total Centros;Hombres;11.421
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades privadas;Centros propios;Ambos Sexos;31.588
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades privadas;Centros propios;Mujeres;20.398
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades privadas;Centros propios;Hombres;11.190
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades privadas;Centros adscritos;Ambos Sexos;502
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades privadas;Centros adscritos;Mujeres;271
Total Grado y 1º y 2º Ciclo;Ciencias de la Salud;Universidades privadas;Centros adscritos;Hombres;231
Total Grado y 1º y 2º Ciclo;Ciencias;Total Universidades;Total Centros;Ambos Sexos;84.658
Total Grado y 1º y 2º Ciclo;Ciencias;Total Universidades;Total Centros;Mujeres;46.763
Total Grado y 1º y 2º Ciclo;Ciencias;Total Universidades;Total Centros;Hombres;37.895
Total Grado y 1º y 2º Ciclo;Ciencias;Total Universidades;Centros propios;Ambos Sexos;84.658
Total Grado y 1º y 2º Ciclo;Ciencias;Total Universidades;Centros propios;Mujeres;46.763
Total Grado y 1º y 2º Ciclo;Ciencias;Total Universidades;Centros propios;Hombres;37.895
Total Grado y 1º y 2º Ciclo;Ciencias;Total Universidades;Centros adscritos;Ambos Sexos;.
Total Grado y 1º y 2º Ciclo;Ciencias;Total Universidades;Centros adscritos;Mujeres;.
Total Grado y 1º y 2º Ciclo;Ciencias;Total Universidades;Centros adscritos;Hombres;.
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades públicas;Total Centros;Ambos Sexos;81.821
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades públicas;Total Centros;Mujeres;45.018
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades públicas;Total Centros;Hombres;36.803
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades públicas;Centros propios;Ambos Sexos;81.821
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades públicas;Centros propios;Mujeres;45.018
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades públicas;Centros propios;Hombres;36.803
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades públicas;Centros adscritos;Ambos Sexos;.
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades públicas;Centros adscritos;Mujeres;.
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades públicas;Centros adscritos;Hombres;.
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades privadas;Total Centros;Ambos Sexos;2.837
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades privadas;Total Centros;Mujeres;1.745
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades privadas;Total Centros;Hombres;1.092
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades privadas;Centros propios;Ambos Sexos;2.837
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades privadas;Centros propios;Mujeres;1.745
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades privadas;Centros propios;Hombres;1.092
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades privadas;Centros adscritos;Ambos Sexos;.
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades privadas;Centros adscritos;Mujeres;.
Total Grado y 1º y 2º Ciclo;Ciencias;Universidades privadas;Centros adscritos;Hombres;.
Matrícula de Grado;Total Ramas;Total Universidades;Total Centros;Ambos Sexos;537.090
Matrícula de Grado;Total Ramas;Total Universidades;Total Centros;Mujeres;293.918
Matrícula de Grado;Total Ramas;Total Universidades;Total Centros;Hombres;243.172
Matrícula de Grado;Total Ramas;Total Universidades;Centros propios;Ambos Sexos;509.499
Matrícula de Grado;Total Ramas;Total Universidades;Centros propios;Mujeres;277.611
Matrícula de Grado;Total Ramas;Total Universidades;Centros propios;Hombres;231.888
Matrícula de Grado;Total Ramas;Total Universidades;Centros adscritos;Ambos Sexos;27.591
Matrícula de Grado;Total Ramas;Total Universidades;Centros adscritos;Mujeres;16.307
Matrícula de Grado;Total Ramas;Total Universidades;Centros adscritos;Hombres;11.284
Matrícula de Grado;Total Ramas;Universidades públicas;Total Centros;Ambos Sexos;452.001
Matrícula de Grado;Total Ramas;Universidades públicas;Total Centros;Mujeres;248.359
Matrícula de Grado;Total Ramas;Universidades públicas;Total Centros;Hombres;203.642
Matrícula de Grado;Total Ramas;Universidades públicas;Centros propios;Ambos Sexos;426.360
Matrícula de Grado;Total Ramas;Universidades públicas;Centros propios;Mujeres;233.208
Matrícula de Grado;Total Ramas;Universidades públicas;Centros propios;Hombres;193.152
Matrícula de Grado;Total Ramas;Universidades públicas;Centros adscritos;Ambos Sexos;25.641
Matrícula de Grado;Total Ramas;Universidades públicas;Centros adscritos;Mujeres;15.151
Matrícula de Grado;Total Ramas;Universidades públicas;Centros adscritos;Hombres;10.490
Matrícula de Grado;Total Ramas;Universidades privadas;Total Centros;Ambos Sexos;85.089
Matrícula de Grado;Total Ramas;Universidades privadas;Total Centros;Mujeres;45.559
Matrícula de Grado;Total Ramas;Universidades privadas;Total Centros;Hombres;39.530
Matrícula de Grado;Total Ramas;Universidades privadas;Centros propios;Ambos Sexos;83.139
Matrícula de Grado;Total Ramas;Universidades privadas;Centros propios;Mujeres;44.403
Matrícula de Grado;Total Ramas;Universidades privadas;Centros propios;Hombres;38.736
Matrícula de Grado;Total Ramas;Universidades privadas;Centros adscritos;Ambos Sexos;1.950
Matrícula de Grado;Total Ramas;Universidades privadas;Centros adscritos;Mujeres;1.156
Matrícula de Grado;Total Ramas;Universidades privadas;Centros adscritos;Hombres;794
Matrícula de Grado;Ciencias Sociales y Jurídicas;Total Universidades;Total Centros;Ambos Sexos;244.102
Matrícula de Grado;Ciencias Sociales y Jurídicas;Total Universidades;Total Centros;Mujeres;147.526
Matrícula de Grado;Ciencias Sociales y Jurídicas;Total Universidades;Total Centros;Hombres;96.576
Matrícula de Grado;Ciencias Sociales y Jurídicas;Total Universidades;Centros propios;Ambos Sexos;230.241
Matrícula de Grado;Ciencias Sociales y Jurídicas;Total Universidades;Centros propios;Mujeres;138.718
Matrícula de Grado;Ciencias Sociales y Jurídicas;Total Universidades;Centros propios;Hombres;91.523
Matrícula de Grado;Ciencias Sociales y Jurídicas;Total Universidades;Centros adscritos;Ambos Sexos;13.861
Matrícula de Grado;Ciencias Sociales y Jurídicas;Total Universidades;Centros adscritos;Mujeres;8.808
Matrícula de Grado;Ciencias Sociales y Jurídicas;Total Universidades;Centros adscritos;Hombres;5.053
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades públicas;Total Centros;Ambos Sexos;200.581
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades públicas;Total Centros;Mujeres;122.550
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades públicas;Total Centros;Hombres;78.031
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades públicas;Centros propios;Ambos Sexos;187.345
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades públicas;Centros propios;Mujeres;114.058
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades públicas;Centros propios;Hombres;73.287
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades públicas;Centros adscritos;Ambos Sexos;13.236
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades públicas;Centros adscritos;Mujeres;8.492
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades públicas;Centros adscritos;Hombres;4.744
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades privadas;Total Centros;Ambos Sexos;43.521
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades privadas;Total Centros;Mujeres;24.976
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades privadas;Total Centros;Hombres;18.545
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades privadas;Centros propios;Ambos Sexos;42.896
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades privadas;Centros propios;Mujeres;24.660
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades privadas;Centros propios;Hombres;18.236
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades privadas;Centros adscritos;Ambos Sexos;625
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades privadas;Centros adscritos;Mujeres;316
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades privadas;Centros adscritos;Hombres;309
Matrícula de Grado;Ingeniería y Arquitectura;Total Universidades;Total Centros;Ambos Sexos;104.715
Matrícula de Grado;Ingeniería y Arquitectura;Total Universidades;Total Centros;Mujeres;25.601
Matrícula de Grado;Ingeniería y Arquitectura;Total Universidades;Total Centros;Hombres;79.114
Matrícula de Grado;Ingeniería y Arquitectura;Total Universidades;Centros propios;Ambos Sexos;100.353
Matrícula de Grado;Ingeniería y Arquitectura;Total Universidades;Centros propios;Mujeres;24.656
Matrícula de Grado;Ingeniería y Arquitectura;Total Universidades;Centros propios;Hombres;75.697
Matrícula de Grado;Ingeniería y Arquitectura;Total Universidades;Centros adscritos;Ambos Sexos;4.362
Matrícula de Grado;Ingeniería y Arquitectura;Total Universidades;Centros adscritos;Mujeres;945
Matrícula de Grado;Ingeniería y Arquitectura;Total Universidades;Centros adscritos;Hombres;3.417
Matrícula de Grado;Ingeniería y Arquitectura;Universidades públicas;Total Centros;Ambos Sexos;89.053
Matrícula de Grado;Ingeniería y Arquitectura;Universidades públicas;Total Centros;Mujeres;21.624
Matrícula de Grado;Ingeniería y Arquitectura;Universidades públicas;Total Centros;Hombres;67.429
Matrícula de Grado;Ingeniería y Arquitectura;Universidades públicas;Centros propios;Ambos Sexos;84.742
Matrícula de Grado;Ingeniería y Arquitectura;Universidades públicas;Centros propios;Mujeres;20.688
Matrícula de Grado;Ingeniería y Arquitectura;Universidades públicas;Centros propios;Hombres;64.054
Matrícula de Grado;Ingeniería y Arquitectura;Universidades públicas;Centros adscritos;Ambos Sexos;4.311
Matrícula de Grado;Ingeniería y Arquitectura;Universidades públicas;Centros adscritos;Mujeres;936
Matrícula de Grado;Ingeniería y Arquitectura;Universidades públicas;Centros adscritos;Hombres;3.375
Matrícula de Grado;Ingeniería y Arquitectura;Universidades privadas;Total Centros;Ambos Sexos;15.662
Matrícula de Grado;Ingeniería y Arquitectura;Universidades privadas;Total Centros;Mujeres;3.977
Matrícula de Grado;Ingeniería y Arquitectura;Universidades privadas;Total Centros;Hombres;11.685
Matrícula de Grado;Ingeniería y Arquitectura;Universidades privadas;Centros propios;Ambos Sexos;15.611
Matrícula de Grado;Ingeniería y Arquitectura;Universidades privadas;Centros propios;Mujeres;3.968
Matrícula de Grado;Ingeniería y Arquitectura;Universidades privadas;Centros propios;Hombres;11.643
Matrícula de Grado;Ingeniería y Arquitectura;Universidades privadas;Centros adscritos;Ambos Sexos;..
Matrícula de Grado;Ingeniería y Arquitectura;Universidades privadas;Centros adscritos;Mujeres;.
Matrícula de Grado;Ingeniería y Arquitectura;Universidades privadas;Centros adscritos;Hombres;..
Matrícula de Grado;Artes y Humanidades;Total Universidades;Total Centros;Ambos Sexos;60.350
Matrícula de Grado;Artes y Humanidades;Total Universidades;Total Centros;Mujeres;36.448
Matrícula de Grado;Artes y Humanidades;Total Universidades;Total Centros;Hombres;23.902
Matrícula de Grado;Artes y Humanidades;Total Universidades;Centros propios;Ambos Sexos;58.884
Matrícula de Grado;Artes y Humanidades;Total Universidades;Centros propios;Mujeres;35.433
Matrícula de Grado;Artes y Humanidades;Total Universidades;Centros propios;Hombres;23.451
Matrícula de Grado;Artes y Humanidades;Total Universidades;Centros adscritos;Ambos Sexos;1.466
Matrícula de Grado;Artes y Humanidades;Total Universidades;Centros adscritos;Mujeres;1.015
Matrícula de Grado;Artes y Humanidades;Total Universidades;Centros adscritos;Hombres;451
Matrícula de Grado;Artes y Humanidades;Universidades públicas;Total Centros;Ambos Sexos;56.325
Matrícula de Grado;Artes y Humanidades;Universidades públicas;Total Centros;Mujeres;33.940
Matrícula de Grado;Artes y Humanidades;Universidades públicas;Total Centros;Hombres;22.385
Matrícula de Grado;Artes y Humanidades;Universidades públicas;Centros propios;Ambos Sexos;55.631
